 "Test Predictions" Actuals Date
1439 5.0711336 9 2022-01-01
1440 5.0151443 2 2022-01-03
1441 5.0112166 2 2022-01-04
1442 5.049806 4 2022-01-05
1443 5.0814967 3 2022-01-06
1444 5.0784583 6 2022-01-07
1445 5.086422 3 2022-01-08
1446 5.0741906 2 2022-01-09
1447 5.0661097 8 2022-01-10
1448 5.057651 4 2022-01-11
1449 5.053374 8 2022-01-12
1450 5.03882 2 2022-01-13
1451 5.024088 6 2022-01-14
1452 5.0640244 5 2022-01-15
1453 5.067499 4 2022-01-16
1454 5.0765157 7 2022-01-17
1455 5.069116 6 2022-01-18
1456 5.060872 3 2022-01-19
1457 5.0669928 5 2022-01-20
1458 5.0920777 2 2022-01-21
1459 5.0758557 8 2022-01-22
1460 5.0663257 5 2022-01-23
1461 5.0627766 1 2022-01-24
1462 5.0424004 5 2022-01-25
1463 5.086688 3 2022-01-26
1464 5.0781703 2 2022-01-27
1465 5.066808 4 2022-01-28
1466 5.0835223 2 2022-01-29
1467 5.057649 6 2022-01-30
1468 5.0761743 1 2022-01-31
1469 5.0216765 5 2022-02-01
1470 5.062292 7 2022-02-02
1471 5.0515137 6 2022-02-03
1472 5.0464416 2 2022-02-04
1473 5.03646 2 2022-02-05
1474 5.046924 6 2022-02-07
1475 5.069034 7 2022-02-08
1476 5.0517945 3 2022-02-09
1477 5.0477085 3 2022-02-10
1478 5.0666203 4 2022-02-11
1479 5.0816274 6 2022-02-12
1480 5.0806556 7 2022-02-13
1481 5.0604033 3 2022-02-14
1482 5.056527 1 2022-02-15
1483 5.0426116 3 2022-02-16
1484 5.068894 4 2022-02-17
1485 5.0779977 1 2022-02-18
1486 5.027963 1 2022-02-19
1487 4.9970284 4 2022-02-20
1488 5.0289993 7 2022-02-21
1489 5.034179 7 2022-02-22
1490 5.023912 5 2022-02-23
1491 5.0352235 7 2022-02-24
1492 5.03379 7 2022-02-25
1493 5.0225224 5 2022-02-26
1494 5.038408 1 2022-02-27
1495 5.0258584 5 2022-02-28
1496 5.076172 14 2022-03-01
1497 4.8337636 5 2022-03-02
1498 4.892654 3 2022-03-03
1499 4.972099 10 2022-03-04
1500 4.9382405 1 2022-03-05
1501 4.932467 6 2022-03-06
1502 5.0177584 6 2022-03-07
1503 5.0283604 3 2022-03-08
1504 5.0401816 4 2022-03-09
1505 5.072275 5 2022-03-10
1506 5.0835943 3 2022-03-11
1507 5.0792565 2 2022-03-12
1508 5.0722136 2 2022-03-13
1509 5.066507 6 2022-03-14
1510 5.0831285 8 2022-03-15
1511 5.0457416 6 2022-03-16
1512 5.040882 7 2022-03-17
1513 5.035238 3 2022-03-18
1514 5.042921 7 2022-03-19
1515 5.0574174 2 2022-03-20
1516 5.04489 7 2022-03-21
1517 5.065808 5 2022-03-22
1518 5.066285 5 2022-03-23
1519 5.079763 1 2022-03-24
1520 5.0522914 6 2022-03-25
1521 5.088364 6 2022-03-26
1522 5.0779276 5 2022-03-27
1523 5.079547 8 2022-03-28
1524 5.0489316 7 2022-03-29
1525 5.03151 5 2022-03-30
1526 5.0481577 5 2022-03-31
1527 5.0710444 5 2022-04-01
1528 5.083527 6 2022-04-02
1529 5.082626 10 2022-04-03
1530 4.9932466 7 2022-04-04
1531 4.987951 5 2022-04-05
1532 5.022749 4 2022-04-06
1533 5.059932 4 2022-04-07
1534 5.0863338 7 2022-04-08
1535 5.0772805 8 2022-04-09
1536 5.036115 4 2022-04-10
1537 5.0498767 4 2022-04-11
1538 5.0829124 1 2022-04-12
1539 5.0669966 7 2022-04-13
1540 5.0894094 3 2022-04-14
1541 5.0781503 2 2022-04-15
1542 5.0796914 4 2022-04-16
1543 5.0998483 5 2022-04-17
1544 5.1002774 5 2022-04-18
1545 5.0960193 3 2022-04-19
1546 5.0877204 7 2022-04-20
1547 5.0832887 3 2022-04-21
1548 5.071547 4 2022-04-22
1549 5.0916896 5 2022-04-23
1550 5.0960765 2 2022-04-24
1551 5.0732217 2 2022-04-25
1552 5.0711107 3 2022-04-26
1553 5.0768204 4 2022-04-27
1554 5.0825152 4 2022-04-28
1555 5.0817413 14 2022-04-29
1556 4.848433 6 2022-04-30
1557 4.9017386 14 2022-05-01
1558 4.7119784 4 2022-05-02
1559 4.8136754 10 2022-05-03
1560 4.8357067 4 2022-05-04
1561 4.9004397 4 2022-05-05
1562 4.9841347 7 2022-05-06
1563 5.006876 4 2022-05-07
1564 5.028085 6 2022-05-08
1565 5.0520387 6 2022-05-09
1566 5.0541177 8 2022-05-10
1567 5.0232787 6 2022-05-11
1568 5.026528 5 2022-05-12
1569 5.0506487 2 2022-05-13
1570 5.060538 3 2022-05-14
1571 5.093941 5 2022-05-15
1572 5.1062627 3 2022-05-16
1573 5.0968747 3 2022-05-17
1574 5.101437 8 2022-05-18
1575 5.0759726 8 2022-05-19
1576 5.0328946 4 2022-05-20
1577 5.04469 2 2022-05-21
1578 5.0585737 2 2022-05-22
1579 5.0698705 7 2022-05-23
1580 5.0780144 2 2022-05-24
1581 5.0510273 1 2022-05-25
1582 5.03532 7 2022-05-26
1583 5.06136 1 2022-05-27
1584 5.01028 6 2022-05-28
1585 5.0557036 3 2022-05-29
1586 5.046827 6 2022-05-30
1587 5.064718 8 2022-05-31
1588 5.031771 5 2022-06-01
1589 5.038155 6 2022-06-02
1590 5.0522084 3 2022-06-03
1591 5.05771 7 2022-06-05
1592 5.064071 8 2022-06-06
1593 5.026798 2 2022-06-07
1594 5.02438 9 2022-06-08
1595 5.013784 4 2022-06-09
1596 5.024506 6 2022-06-10
1597 5.0536504 8 2022-06-11
1598 5.024213 1 2022-06-12
1599 5.0057797 5 2022-06-13
1600 5.071381 7 2022-06-14
1601 5.0592723 1 2022-06-15
1602 5.0284333 3 2022-06-16
1603 5.073464 5 2022-06-17
1604 5.0885677 1 2022-06-18
1605 5.0430913 7 2022-06-19
