 "Test Predictions" Actuals Date
1439 5.279478 9 2022-01-01
1440 5.2984595 2 2022-01-03
1441 5.2842484 2 2022-01-04
1442 5.2549734 4 2022-01-05
1443 5.2420874 3 2022-01-06
1444 5.216568 6 2022-01-07
1445 5.2300262 3 2022-01-08
1446 5.2146974 2 2022-01-09
1447 5.180687 8 2022-01-10
1448 5.2067757 4 2022-01-11
1449 5.2196364 8 2022-01-12
1450 5.252484 2 2022-01-13
1451 5.234293 6 2022-01-14
1452 5.257388 5 2022-01-15
1453 5.2633696 4 2022-01-16
1454 5.2611737 7 2022-01-17
1455 5.275424 6 2022-01-18
1456 5.2925687 3 2022-01-19
1457 5.2792373 5 2022-01-20
1458 5.281132 2 2022-01-21
1459 5.2377234 8 2022-01-22
1460 5.2556467 5 2022-01-23
1461 5.272729 1 2022-01-24
1462 5.2243633 5 2022-01-25
1463 5.2330704 3 2022-01-26
1464 5.2107253 2 2022-01-27
1465 5.1742945 4 2022-01-28
1466 5.1727734 2 2022-01-29
1467 5.1359415 6 2022-01-30
1468 5.1651077 1 2022-01-31
1469 5.114718 5 2022-02-01
1470 5.1446853 7 2022-02-02
1471 5.177495 6 2022-02-03
1472 5.213799 2 2022-02-04
1473 5.194941 2 2022-02-05
1474 5.1660657 6 2022-02-07
1475 5.185282 7 2022-02-08
1476 5.212691 3 2022-02-09
1477 5.212347 3 2022-02-10
1478 5.202647 4 2022-02-11
1479 5.197136 6 2022-02-12
1480 5.212728 7 2022-02-13
1481 5.238015 3 2022-02-14
1482 5.2337494 1 2022-02-15
1483 5.182081 3 2022-02-16
1484 5.1647687 4 2022-02-17
1485 5.160885 1 2022-02-18
1486 5.104388 1 2022-02-19
1487 5.054466 4 2022-02-20
1488 5.069011 7 2022-02-21
1489 5.115642 7 2022-02-22
1490 5.1660933 5 2022-02-23
1491 5.202846 7 2022-02-24
1492 5.239119 7 2022-02-25
1493 5.26968 5 2022-02-26
1494 5.289235 1 2022-02-27
1495 5.238146 5 2022-02-28
1496 5.244786 14 2022-03-01
1497 5.210031 5 2022-03-02
1498 5.29521 3 2022-03-03
1499 5.3055296 10 2022-03-04
1500 5.309579 1 2022-03-05
1501 5.278907 6 2022-03-06
1502 5.303633 6 2022-03-07
1503 5.3135233 3 2022-03-08
1504 5.296423 4 2022-03-09
1505 5.2856236 5 2022-03-10
1506 5.2814627 3 2022-03-11
1507 5.2578135 2 2022-03-12
1508 5.2166333 2 2022-03-13
1509 5.174303 6 2022-03-14
1510 5.192289 8 2022-03-15
1511 5.2227297 6 2022-03-16
1512 5.2619085 7 2022-03-17
1513 5.294314 3 2022-03-18
1514 5.285483 7 2022-03-19
1515 5.3006344 2 2022-03-20
1516 5.2674904 7 2022-03-21
1517 5.284554 5 2022-03-22
1518 5.2922783 5 2022-03-23
1519 5.29852 1 2022-03-24
1520 5.2382717 6 2022-03-25
1521 5.251189 6 2022-03-26
1522 5.2640157 5 2022-03-27
1523 5.2760897 8 2022-03-28
1524 5.2939067 7 2022-03-29
1525 5.3198977 5 2022-03-30
1526 5.33285 5 2022-03-31
1527 5.333491 5 2022-04-01
1528 5.3281746 6 2022-04-02
1529 5.329954 10 2022-04-03
1530 5.330822 7 2022-04-04
1531 5.363465 5 2022-04-05
1532 5.373058 4 2022-04-06
1533 5.3591123 4 2022-04-07
1534 5.3409476 7 2022-04-08
1535 5.3425255 8 2022-04-09
1536 5.3532 4 2022-04-10
1537 5.3518524 4 2022-04-11
1538 5.3418756 1 2022-04-12
1539 5.274707 7 2022-04-13
1540 5.286749 3 2022-04-14
1541 5.272418 2 2022-04-15
1542 5.2356524 4 2022-04-16
1543 5.225854 5 2022-04-17
1544 5.229325 5 2022-04-18
1545 5.2383604 3 2022-04-19
1546 5.2224855 7 2022-04-20
1547 5.243321 3 2022-04-21
1548 5.232131 4 2022-04-22
1549 5.233151 5 2022-04-23
1550 5.236253 2 2022-04-24
1551 5.199136 2 2022-04-25
1552 5.163761 3 2022-04-26
1553 5.1451426 4 2022-04-27
1554 5.14554 4 2022-04-28
1555 5.1490993 14 2022-04-29
1556 5.143049 6 2022-04-30
1557 5.238199 14 2022-05-01
1558 5.2468934 4 2022-05-02
1559 5.313575 10 2022-05-03
1560 5.345378 4 2022-05-04
1561 5.355731 4 2022-05-05
1562 5.3534155 7 2022-05-06
1563 5.3552427 4 2022-05-07
1564 5.344283 6 2022-05-08
1565 5.3478336 6 2022-05-09
1566 5.3495593 8 2022-05-10
1567 5.357821 6 2022-05-11
1568 5.369571 5 2022-05-12
1569 5.36901 2 2022-05-13
1570 5.3235497 3 2022-05-14
1571 5.296446 5 2022-05-15
1572 5.2908125 3 2022-05-16
1573 5.265959 3 2022-05-17
1574 5.2417464 8 2022-05-18
1575 5.256984 8 2022-05-19
1576 5.289353 4 2022-05-20
1577 5.3054633 2 2022-05-21
1578 5.272527 2 2022-05-22
1579 5.2298145 7 2022-05-23
1580 5.24284 2 2022-05-24
1581 5.2159357 1 2022-05-25
1582 5.163247 7 2022-05-26
1583 5.1896806 1 2022-05-27
1584 5.1461816 6 2022-05-28
1585 5.180598 3 2022-05-29
1586 5.1716547 6 2022-05-30
1587 5.1990147 8 2022-05-31
1588 5.2276797 5 2022-06-01
1589 5.2566795 6 2022-06-02
1590 5.280265 3 2022-06-03
1591 5.264173 7 2022-06-05
1592 5.2789474 8 2022-06-06
1593 5.2974772 2 2022-06-07
1594 5.278511 9 2022-06-08
1595 5.2964125 4 2022-06-09
1596 5.3072796 6 2022-06-10
1597 5.3223195 8 2022-06-11
1598 5.331855 1 2022-06-12
1599 5.285823 5 2022-06-13
1600 5.296229 7 2022-06-14
1601 5.3046627 1 2022-06-15
1602 5.255335 3 2022-06-16
1603 5.2388883 5 2022-06-17
1604 5.2386727 1 2022-06-18
1605 5.1803055 7 2022-06-19
1606 5.208438 8 2022-06-20
1607 5.241389 1 2022-06-21
1608 5.2140245 1 2022-06-22
1609 5.168395 4 2022-06-23
1610 5.166066 4 2022-06-24
1611 5.165828 2 2022-06-25
1612 5.135538 1 2022-06-26
1613 5.082109 12 2022-06-27
1614 5.111908 3 2022-06-28
1615 5.161195 7 2022-06-29
1616 5.219224 6 2022-06-30
