 "Test Predictions" Actuals Date
1439 5.0433316 9 2022-01-01
1440 5.0710344 2 2022-01-03
1441 4.9548736 2 2022-01-04
1442 4.9261436 4 2022-01-05
1443 4.9791274 3 2022-01-06
1444 4.9572997 6 2022-01-07
1445 5.023532 3 2022-01-08
1446 4.9674525 2 2022-01-09
1447 4.9133596 8 2022-01-10
1448 5.032469 4 2022-01-11
1449 4.9956107 8 2022-01-12
1450 5.052956 2 2022-01-13
1451 4.9424415 6 2022-01-14
1452 5.0224743 5 2022-01-15
1453 5.022433 4 2022-01-16
1454 5.000697 7 2022-01-17
1455 5.049979 6 2022-01-18
1456 5.048699 3 2022-01-19
1457 4.983275 5 2022-01-20
1458 5.0196843 2 2022-01-21
1459 4.9390206 8 2022-01-22
1460 5.046003 5 2022-01-23
1461 5.02996 1 2022-01-24
1462 4.892137 5 2022-01-25
1463 4.995282 3 2022-01-26
1464 4.9598436 2 2022-01-27
1465 4.9094634 4 2022-01-28
1466 4.9587927 2 2022-01-29
1467 4.8970823 6 2022-01-30
1468 4.9943686 1 2022-01-31
1469 4.858757 5 2022-02-01
1470 4.959158 7 2022-02-02
1471 5.0209923 6 2022-02-03
1472 5.027947 2 2022-02-04
1473 4.926696 2 2022-02-05
1474 4.89436 6 2022-02-07
1475 4.996045 7 2022-02-08
1476 5.036369 3 2022-02-09
1477 4.965315 3 2022-02-10
1478 4.9469714 4 2022-02-11
1479 4.969985 6 2022-02-12
1480 5.018941 7 2022-02-13
1481 5.0467 3 2022-02-14
1482 4.9735165 1 2022-02-15
1483 4.8734045 3 2022-02-16
1484 4.917479 4 2022-02-17
1485 4.953509 1 2022-02-18
1486 4.841434 1 2022-02-19
1487 4.790255 4 2022-02-20
1488 4.8843284 7 2022-02-21
1489 4.981249 7 2022-02-22
1490 5.0177374 5 2022-02-23
1491 5.004118 7 2022-02-24
1492 5.0386963 7 2022-02-25
1493 5.050675 5 2022-02-26
1494 5.0283327 1 2022-02-27
1495 4.88815 5 2022-02-28
1496 4.992634 14 2022-03-01
1497 5.011373 5 2022-03-02
1498 5.0132294 3 2022-03-03
1499 4.970984 10 2022-03-04
1500 5.048996 1 2022-03-05
1501 4.8829894 6 2022-03-06
1502 5.0146294 6 2022-03-07
1503 5.0388875 3 2022-03-08
1504 4.9786487 4 2022-03-09
1505 4.993901 5 2022-03-10
1506 5.019821 3 2022-03-11
1507 4.97327 2 2022-03-12
1508 4.922952 2 2022-03-13
1509 4.901965 6 2022-03-14
1510 5.0049453 8 2022-03-15
1511 5.051562 6 2022-03-16
1512 5.0438604 7 2022-03-17
1513 5.0573893 3 2022-03-18
1514 4.9840913 7 2022-03-19
1515 5.0487475 2 2022-03-20
1516 4.9485354 7 2022-03-21
1517 5.040836 5 2022-03-22
1518 5.0310116 5 2022-03-23
1519 5.0306177 1 2022-03-24
1520 4.8930516 6 2022-03-25
1521 5.0171647 6 2022-03-26
1522 5.0405073 5 2022-03-27
1523 5.029769 8 2022-03-28
1524 5.0656724 7 2022-03-29
1525 5.065093 5 2022-03-30
1526 5.039044 5 2022-03-31
1527 5.0356755 5 2022-04-01
1528 5.035433 6 2022-04-02
1529 5.0517225 10 2022-04-03
1530 5.0750537 7 2022-04-04
1531 5.065938 5 2022-04-05
1532 5.040206 4 2022-04-06
1533 5.015811 4 2022-04-07
1534 5.0107017 7 2022-04-08
1535 5.0591097 8 2022-04-09
1536 5.074446 4 2022-04-10
1537 5.0221086 4 2022-04-11
1538 5.0118537 1 2022-04-12
1539 4.887034 7 2022-04-13
1540 5.0366354 3 2022-04-14
1541 4.9825096 2 2022-04-15
1542 4.9325004 4 2022-04-16
1543 4.981359 5 2022-04-17
1544 5.0137367 5 2022-04-18
1545 5.0211887 3 2022-04-19
1546 4.971046 7 2022-04-20
1547 5.043201 3 2022-04-21
1548 4.976988 4 2022-04-22
1549 4.989777 5 2022-04-23
1550 5.0152197 2 2022-04-24
1551 4.9309235 2 2022-04-25
1552 4.902669 3 2022-04-26
1553 4.9229913 4 2022-04-27
1554 4.9543753 4 2022-04-28
1555 4.9613876 14 2022-04-29
1556 4.998106 6 2022-04-30
1557 5.0244513 14 2022-05-01
1558 5.0131526 4 2022-05-02
1559 4.9847035 10 2022-05-03
1560 5.0385723 4 2022-05-04
1561 4.9996037 4 2022-05-05
1562 4.9961596 7 2022-05-06
1563 5.046662 4 2022-05-07
1564 5.0107164 6 2022-05-08
1565 5.04204 6 2022-05-09
1566 5.050136 8 2022-05-10
1567 5.069568 6 2022-05-11
1568 5.0547853 5 2022-05-12
1569 5.0380507 2 2022-05-13
1570 4.9544263 3 2022-05-14
1571 4.966976 5 2022-05-15
1572 5.0188527 3 2022-05-16
1573 4.9779725 3 2022-05-17
1574 4.9663463 8 2022-05-18
1575 5.053611 8 2022-05-19
1576 5.0693564 4 2022-05-20
1577 5.0167475 2 2022-05-21
1578 4.9440713 2 2022-05-22
1579 4.921061 7 2022-05-23
1580 5.0332246 2 2022-05-24
1581 4.9370008 1 2022-05-25
1582 4.862515 7 2022-05-26
1583 5.0106096 1 2022-05-27
1584 4.8736315 6 2022-05-28
1585 4.993927 3 2022-05-29
1586 4.9468575 6 2022-05-30
1587 5.011537 8 2022-05-31
1588 5.0513287 5 2022-06-01
1589 5.0257883 6 2022-06-02
1590 5.040684 3 2022-06-03
1591 4.977652 7 2022-06-05
1592 5.04518 8 2022-06-06
1593 5.066668 2 2022-06-07
1594 4.953408 9 2022-06-08
1595 5.0530844 4 2022-06-09
1596 5.011159 6 2022-06-10
1597 5.0426707 8 2022-06-11
1598 5.0682516 1 2022-06-12
1599 4.896821 5 2022-06-13
1600 5.0049095 7 2022-06-14
1601 5.053252 1 2022-06-15
1602 4.895196 3 2022-06-16
1603 4.9470706 5 2022-06-17
1604 5.0052824 1 2022-06-18
1605 4.882859 7 2022-06-19
1606 5.0184236 8 2022-06-20
1607 5.055597 1 2022-06-21
1608 4.8957777 1 2022-06-22
1609 4.851027 4 2022-06-23
1610 4.9419036 4 2022-06-24
1611 4.9606276 2 2022-06-25
1612 4.893174 1 2022-06-26
1613 4.8171773 12 2022-06-27
1614 4.9780025 3 2022-06-28
1615 4.9380746 7 2022-06-29
1616 5.0187783 6 2022-06-30
