 "Test Predictions" Actuals Date
1439 5.8617716 9 2022-01-01
1440 5.581633 2 2022-01-03
1441 4.632256 2 2022-01-04
1442 5.7142234 4 2022-01-05
1443 6.4829917 3 2022-01-06
1444 5.9061446 6 2022-01-07
1445 6.0113072 3 2022-01-08
1446 4.841513 2 2022-01-09
1447 4.9536834 8 2022-01-10
1448 5.543558 4 2022-01-11
1449 4.6524663 8 2022-01-12
1450 4.360416 2 2022-01-13
1451 4.260471 6 2022-01-14
1452 4.8332915 5 2022-01-15
1453 4.9055037 4 2022-01-16
1454 4.5512767 7 2022-01-17
1455 4.5325265 6 2022-01-18
1456 4.532824 3 2022-01-19
1457 4.652148 5 2022-01-20
1458 5.88551 2 2022-01-21
1459 5.343319 8 2022-01-22
1460 5.6671915 5 2022-01-23
1461 5.850549 1 2022-01-24
1462 5.235986 5 2022-01-25
1463 6.359161 3 2022-01-26
1464 5.255701 2 2022-01-27
1465 5.0046334 4 2022-01-28
1466 5.0468183 2 2022-01-29
1467 4.865953 6 2022-01-30
1468 4.919492 1 2022-01-31
1469 4.30506 5 2022-02-01
1470 4.631365 7 2022-02-02
1471 4.1762714 6 2022-02-03
1472 4.2583575 2 2022-02-04
1473 4.1778703 2 2022-02-05
1474 4.5714087 6 2022-02-07
1475 4.875749 7 2022-02-08
1476 4.3479238 3 2022-02-09
1477 4.2866883 3 2022-02-10
1478 4.8908963 4 2022-02-11
1479 5.232162 6 2022-02-12
1480 5.019469 7 2022-02-13
1481 4.433683 3 2022-02-14
1482 4.5386567 1 2022-02-15
1483 5.2495084 3 2022-02-16
1484 6.0895667 4 2022-02-17
1485 5.921453 1 2022-02-18
1486 4.6140876 1 2022-02-19
1487 5.0442004 4 2022-02-20
1488 5.4059587 7 2022-02-21
1489 4.8408437 7 2022-02-22
1490 4.0505543 5 2022-02-23
1491 3.4215784 7 2022-02-24
1492 3.993401 7 2022-02-25
1493 4.406962 5 2022-02-26
1494 4.229145 1 2022-02-27
1495 4.666819 5 2022-02-28
1496 5.173595 14 2022-03-01
1497 4.939451 5 2022-03-02
1498 4.9212956 3 2022-03-03
1499 4.9160447 10 2022-03-04
1500 5.231216 1 2022-03-05
1501 4.7575345 6 2022-03-06
