"Var1" "Freq"
"228" "2018-08-16" 6
"229" "2018-08-17" 6
"230" "2018-08-18" 4
"231" "2018-08-19" 1
"232" "2018-08-20" 4
"233" "2018-08-21" 8
"234" "2018-08-22" 7
"235" "2018-08-23" 6
"236" "2018-08-24" 1
"237" "2018-08-25" 4
"238" "2018-08-26" 7
"239" "2018-08-27" 2
"240" "2018-08-28" 4
"241" "2018-08-29" 8
"242" "2018-08-30" 7
"243" "2018-08-31" 6
"244" "2018-09-01" 5
"245" "2018-09-02" 3
"246" "2018-09-03" 5
"247" "2018-09-04" 6
"248" "2018-09-05" 10
"249" "2018-09-06" 6
"250" "2018-09-07" 9
"251" "2018-09-08" 6
"252" "2018-09-09" 3
"253" "2018-09-10" 5
"254" "2018-09-11" 5
"255" "2018-09-12" 5
"256" "2018-09-13" 5
"257" "2018-09-14" 3
"258" "2018-09-15" 8
"259" "2018-09-16" 5
"260" "2018-09-17" 6
"261" "2018-09-18" 7
"262" "2018-09-19" 4
"263" "2018-09-20" 6
"264" "2018-09-21" 9
"265" "2018-09-22" 3
"266" "2018-09-23" 4
"267" "2018-09-24" 8
"268" "2018-09-25" 6
"269" "2018-09-26" 4
"270" "2018-09-27" 7
"271" "2018-09-28" 8
"272" "2018-09-29" 5
"273" "2018-09-30" 5
"274" "2018-10-01" 13
"275" "2018-10-02" 9
"276" "2018-10-04" 11
"277" "2018-10-05" 5
"278" "2018-10-06" 7
"279" "2018-10-07" 5
"280" "2018-10-08" 9
"281" "2018-10-09" 6
"282" "2018-10-10" 3
"283" "2018-10-11" 3
"284" "2018-10-12" 6
"285" "2018-10-13" 11
"286" "2018-10-14" 4
"287" "2018-10-15" 7
"288" "2018-10-16" 10
"289" "2018-10-17" 6
"290" "2018-10-18" 1
"291" "2018-10-19" 13
"292" "2018-10-20" 2
"293" "2018-10-22" 9
"294" "2018-10-23" 5
"295" "2018-10-24" 12
"296" "2018-10-25" 7
"297" "2018-10-26" 5
"298" "2018-10-27" 6
"299" "2018-10-28" 6
"300" "2018-10-29" 10
"301" "2018-10-30" 6
"302" "2018-10-31" 7
"303" "2018-11-01" 5
"304" "2018-11-02" 7
"305" "2018-11-03" 11
"306" "2018-11-04" 5
"307" "2018-11-05" 10
"308" "2018-11-06" 5
"309" "2018-11-07" 2
"310" "2018-11-08" 10
"311" "2018-11-09" 5
"312" "2018-11-10" 7
"313" "2018-11-11" 10
"314" "2018-11-12" 3
"315" "2018-11-13" 4
"316" "2018-11-14" 3
"317" "2018-11-15" 2
"318" "2018-11-16" 5
"319" "2018-11-17" 4
"320" "2018-11-18" 6
"321" "2018-11-19" 8
"322" "2018-11-20" 8
"323" "2018-11-21" 5
"324" "2018-11-22" 5
"325" "2018-11-23" 5
"326" "2018-11-24" 6
"327" "2018-11-25" 5
"328" "2018-11-26" 10
"329" "2018-11-27" 2
"330" "2018-11-28" 8
"331" "2018-11-29" 7
"332" "2018-11-30" 8
"333" "2018-12-01" 6
"334" "2018-12-02" 7
"335" "2018-12-03" 7
"336" "2018-12-04" 5
"337" "2018-12-05" 2
"338" "2018-12-06" 4
"339" "2018-12-07" 9
"340" "2018-12-08" 8
"341" "2018-12-09" 6
"342" "2018-12-10" 5
"343" "2018-12-11" 8
"344" "2018-12-12" 7
"345" "2018-12-13" 4
"346" "2018-12-14" 1
"347" "2018-12-15" 3
"348" "2018-12-16" 4
"349" "2018-12-17" 11
"350" "2018-12-18" 7
"351" "2018-12-19" 3
"352" "2018-12-20" 2
"353" "2018-12-21" 7
"354" "2018-12-22" 3
"355" "2018-12-23" 6
"356" "2018-12-24" 5
"357" "2018-12-25" 3
"358" "2018-12-26" 4
"359" "2018-12-27" 6
"360" "2018-12-28" 11
"361" "2018-12-29" 2
"362" "2018-12-30" 4
"363" "2018-12-31" 6
"364" "2019-01-01" 14
"365" "2019-01-02" 8
"366" "2019-01-03" 6
"367" "2019-01-04" 4
"368" "2019-01-05" 7
"369" "2019-01-06" 6
"370" "2019-01-07" 5
"371" "2019-01-08" 8
"372" "2019-01-09" 7
"373" "2019-01-10" 3
"374" "2019-01-11" 5
"375" "2019-01-12" 5
"376" "2019-01-13" 3
"377" "2019-01-14" 6
"378" "2019-01-15" 5
"379" "2019-01-16" 3
"380" "2019-01-17" 9
"381" "2019-01-18" 3
"382" "2019-01-19" 3
"383" "2019-01-21" 4
"384" "2019-01-22" 12
"385" "2019-01-23" 6
"386" "2019-01-24" 6
"387" "2019-01-25" 5
"388" "2019-01-26" 8
"389" "2019-01-27" 3
"390" "2019-01-28" 6
"391" "2019-01-29" 5
"392" "2019-01-30" 3
"393" "2019-01-31" 6
"394" "2019-02-01" 16
"395" "2019-02-02" 10
"396" "2019-02-03" 3
"397" "2019-02-04" 12
"398" "2019-02-05" 6
"399" "2019-02-06" 4
"400" "2019-02-07" 1
"401" "2019-02-08" 4
"402" "2019-02-09" 7
"403" "2019-02-10" 4
"404" "2019-02-11" 3
"405" "2019-02-12" 7
"406" "2019-02-13" 3
"407" "2019-02-14" 7
"408" "2019-02-15" 2
"409" "2019-02-16" 1
"410" "2019-02-17" 4
"411" "2019-02-18" 4
"412" "2019-02-19" 11
"413" "2019-02-20" 5
"414" "2019-02-21" 7
"415" "2019-02-22" 6
"416" "2019-02-23" 9
"417" "2019-02-24" 3
"418" "2019-02-25" 1
"419" "2019-02-26" 3
"420" "2019-02-27" 1
"421" "2019-02-28" 7
"422" "2019-03-01" 13
"423" "2019-03-02" 5
"424" "2019-03-03" 2
"425" "2019-03-04" 4
"426" "2019-03-05" 9
"427" "2019-03-06" 6
"428" "2019-03-07" 5
"429" "2019-03-08" 8
"430" "2019-03-09" 3
"431" "2019-03-10" 4
"432" "2019-03-11" 10
"433" "2019-03-12" 6
"434" "2019-03-13" 2
"435" "2019-03-14" 5
"436" "2019-03-15" 12
"437" "2019-03-16" 3
"438" "2019-03-17" 3
"439" "2019-03-18" 13
"440" "2019-03-19" 3
"441" "2019-03-20" 3
"442" "2019-03-21" 5
"443" "2019-03-22" 8
"444" "2019-03-23" 3
"445" "2019-03-24" 6
"446" "2019-03-25" 5
"447" "2019-03-26" 6
"448" "2019-03-27" 6
"449" "2019-03-28" 6
"450" "2019-03-29" 2
"451" "2019-03-30" 4
"452" "2019-03-31" 4
"453" "2019-04-01" 13
