 "Test Predictions" Actuals Date
1439 5.1971297 9 2022-01-01
1440 5.338174 2 2022-01-03
1441 4.974582 2 2022-01-04
1442 4.962956 4 2022-01-05
1443 5.083397 3 2022-01-06
1444 5.0254955 6 2022-01-07
1445 5.195535 3 2022-01-08
1446 5.0297284 2 2022-01-09
1447 4.9624004 8 2022-01-10
1448 5.2923765 4 2022-01-11
1449 5.0913687 8 2022-01-12
1450 5.2946553 2 2022-01-13
1451 4.9718027 6 2022-01-14
1452 5.197227 5 2022-01-15
1453 5.144948 4 2022-01-16
1454 5.0895042 7 2022-01-17
1455 5.2470427 6 2022-01-18
1456 5.1990504 3 2022-01-19
1457 5.032106 5 2022-01-20
1458 5.1439915 2 2022-01-21
1459 4.9652348 8 2022-01-22
1460 5.293494 5 2022-01-23
1461 5.146921 1 2022-01-24
1462 4.900335 5 2022-01-25
1463 5.141181 3 2022-01-26
1464 5.026832 2 2022-01-27
1465 4.9615154 4 2022-01-28
1466 5.08328 2 2022-01-29
1467 4.9612303 6 2022-01-30
1468 5.194491 1 2022-01-31
1469 4.898569 5 2022-02-01
1470 5.1409006 7 2022-02-02
1471 5.245188 6 2022-02-03
1472 5.1989975 2 2022-02-04
1473 4.9689155 2 2022-02-05
1474 4.960988 6 2022-02-07
1475 5.193775 7 2022-02-08
1476 5.246253 3 2022-02-09
1477 5.032849 3 2022-02-10
1478 5.0273695 4 2022-02-11
1479 5.0853624 6 2022-02-12
1480 5.1959486 7 2022-02-13
1481 5.247304 3 2022-02-14
1482 5.0331373 1 2022-02-15
1483 4.8958545 3 2022-02-16
1484 5.0210447 4 2022-02-17
1485 5.083094 1 2022-02-18
1486 4.894 1 2022-02-19
1487 4.886761 4 2022-02-20
1488 5.078739 7 2022-02-21
1489 5.243916 7 2022-02-22
1490 5.2474303 5 2022-02-23
1491 5.147669 7 2022-02-24
1492 5.248117 7 2022-02-25
1493 5.2485127 5 2022-02-26
1494 5.148118 1 2022-02-27
1495 4.900653 5 2022-02-28
1496 5.141391 14 2022-03-01
1497 5.524396 5 2022-03-02
1498 5.153783 3 2022-03-03
1499 5.0322585 10 2022-03-04
1500 5.3803434 1 2022-03-05
1501 4.909798 6 2022-03-06
1502 5.197481 6 2022-03-07
1503 5.1969748 3 2022-03-08
1504 5.031507 4 2022-03-09
1505 5.0872593 5 2022-03-10
1506 5.1432633 3 2022-03-11
1507 5.028851 2 2022-03-12
1508 4.9620476 2 2022-03-13
1509 4.9581714 6 2022-03-14
1510 5.193269 8 2022-03-15
1511 5.292646 6 2022-03-16
1512 5.200198 7 2022-03-17
1513 5.2487593 3 2022-03-18
1514 5.033579 7 2022-03-19
1515 5.247604 2 2022-03-20
1516 4.969456 7 2022-03-21
1517 5.2471037 5 2022-03-22
1518 5.146016 5 2022-03-23
1519 5.145935 1 2022-03-24
1520 4.8994064 6 2022-03-25
1521 5.1949873 6 2022-03-26
1522 5.1965766 5 2022-03-27
1523 5.1463404 8 2022-03-28
1524 5.29438 7 2022-03-29
1525 5.2490144 5 2022-03-30
1526 5.1483946 5 2022-03-31
1527 5.146365 5 2022-04-01
1528 5.1455927 6 2022-04-02
1529 5.198089 10 2022-04-03
1530 5.3793793 7 2022-04-04
1531 5.2504177 5 2022-04-05
1532 5.1489024 4 2022-04-06
1533 5.0906096 4 2022-04-07
1534 5.0884376 7 2022-04-08
1535 5.2467422 8 2022-04-09
1536 5.294211 4 2022-04-10
1537 5.0939717 4 2022-04-11
1538 5.089555 1 2022-04-12
1539 4.8968415 7 2022-04-13
1540 5.2450666 3 2022-04-14
1541 5.030355 2 2022-04-15
1542 4.962942 4 2022-04-16
1543 5.083664 5 2022-04-17
1544 5.142093 5 2022-04-18
1545 5.1442943 3 2022-04-19
1546 5.0292387 7 2022-04-20
1547 5.246477 3 2022-04-21
1548 5.0317283 4 2022-04-22
1549 5.087408 5 2022-04-23
1550 5.143186 2 2022-04-24
1551 4.9653463 2 2022-04-25
1552 4.959774 3 2022-04-26
1553 5.0216093 4 2022-04-27
1554 5.0836015 4 2022-04-28
1555 5.085809 14 2022-04-29
1556 5.526238 6 2022-04-30
1557 5.203899 14 2022-05-01
1558 5.525819 4 2022-05-02
