 "Test Predictions" Actuals Date
1439 5.2110944 9 2022-01-01
1440 5.480172 2 2022-01-03
1441 4.8462343 2 2022-01-04
1442 4.763144 4 2022-01-05
1443 4.9491963 3 2022-01-06
1444 4.8632655 6 2022-01-07
1445 5.175541 3 2022-01-08
1446 4.899223 2 2022-01-09
1447 4.751973 8 2022-01-10
1448 5.3431344 4 2022-01-11
1449 5.031431 8 2022-01-12
1450 5.3909903 2 2022-01-13
1451 4.8270106 6 2022-01-14
1452 5.1920176 5 2022-01-15
1453 5.117435 4 2022-01-16
1454 5.0149574 7 2022-01-17
1455 5.2952757 6 2022-01-18
1456 5.2324376 3 2022-01-19
1457 4.925035 5 2022-01-20
1458 5.0955563 2 2022-01-21
1459 4.7773657 8 2022-01-22
1460 5.3553624 5 2022-01-23
1461 5.1364913 1 2022-01-24
1462 4.682965 5 2022-01-25
1463 5.056254 3 2022-01-26
1464 4.878393 2 2022-01-27
1465 4.743964 4 2022-01-28
1466 4.9431095 2 2022-01-29
1467 4.741417 6 2022-01-30
1468 5.157222 1 2022-01-31
1469 4.6603017 5 2022-02-01
1470 5.052449 7 2022-02-02
1471 5.2853746 6 2022-02-03
1472 5.231462 2 2022-02-04
1473 4.810013 2 2022-02-05
1474 4.741781 6 2022-02-07
1475 5.155163 7 2022-02-08
1476 5.3012047 3 2022-02-09
1477 4.9280853 3 2022-02-10
1478 4.8796325 4 2022-02-11
1479 4.969081 6 2022-02-12
1480 5.1886826 7 2022-02-13
1481 5.3095274 3 2022-02-14
1482 4.9307017 1 2022-02-15
1483 4.6463404 3 2022-02-16
1484 4.8171806 4 2022-02-17
1485 4.949239 1 2022-02-18
1486 4.6247888 1 2022-02-19
1487 4.56707 4 2022-02-20
1488 4.900203 7 2022-02-21
1489 5.2627044 7 2022-02-22
1490 5.31382 5 2022-02-23
1491 5.142759 7 2022-02-24
1492 5.315329 7 2022-02-25
1493 5.3283367 5 2022-02-26
1494 5.149474 1 2022-02-27
1495 4.6854134 5 2022-02-28
1496 5.0592575 14 2022-03-01
1497 5.754609 5 2022-03-02
1498 5.186729 3 2022-03-03
1499 4.940502 10 2022-03-04
1500 5.5275664 1 2022-03-05
1501 4.7373686 6 2022-03-06
1502 5.189208 6 2022-03-07
1503 5.2142406 3 2022-03-08
1504 4.9201794 4 2022-03-09
1505 4.987035 5 2022-03-10
1506 5.092106 3 2022-03-11
1507 4.892286 2 2022-03-12
1508 4.747535 2 2022-03-13
1509 4.712935 6 2022-03-14
1510 5.146769 8 2022-03-15
1511 5.3835583 6 2022-03-16
1512 5.243925 7 2022-03-17
1513 5.3278275 3 2022-03-18
1514 4.936801 7 2022-03-19
1515 5.296031 2 2022-03-20
1516 4.8113213 7 2022-03-21
1517 5.2806263 5 2022-03-22
1518 5.128475 5 2022-03-23
1519 5.124375 1 2022-03-24
1520 4.671151 6 2022-03-25
1521 5.158248 6 2022-03-26
1522 5.2079387 5 2022-03-27
1523 5.1288137 8 2022-03-28
1524 5.395335 7 2022-03-29
1525 5.3356113 5 2022-03-30
1526 5.153002 5 2022-03-31
1527 5.129522 5 2022-04-01
1528 5.1203513 6 2022-04-02
1529 5.2168503 10 2022-04-03
1530 5.5500817 7 2022-04-04
1531 5.352111 5 2022-04-05
1532 5.161112 4 2022-04-06
1533 5.027966 4 2022-04-07
1534 5.0028863 7 2022-04-08
1535 5.2928624 8 2022-04-09
1536 5.4065833 4 2022-04-10
1537 5.0558405 4 2022-04-11
1538 5.0154963 1 2022-04-12
1539 4.65146 7 2022-04-13
1540 5.247997 3 2022-04-14
1541 4.907773 2 2022-04-15
1542 4.7583976 4 2022-04-16
1543 4.9475865 5 2022-04-17
1544 5.080375 5 2022-04-18
1545 5.1036186 3 2022-04-19
1546 4.895324 7 2022-04-20
1547 5.2801533 3 2022-04-21
1548 4.9175816 4 2022-04-22
1549 4.9895926 5 2022-04-23
1550 5.091254 2 2022-04-24
1551 4.7774696 2 2022-04-25
1552 4.727658 3 2022-04-26
1553 4.822736 4 2022-04-27
1554 4.9505534 4 2022-04-28
1555 4.972813 14 2022-04-29
1556 5.7514515 6 2022-04-30
1557 5.2743835 14 2022-05-01
1558 5.7896705 4 2022-05-02
1559 5.097933 10 2022-05-03
1560 5.56439 4 2022-05-04
1561 5.0713143 4 2022-05-05
1562 5.0284038 7 2022-05-06
1563 5.297111 4 2022-05-07
1564 5.0353413 6 2022-05-08
1565 5.2127504 6 2022-05-09
1566 5.2238297 8 2022-05-10
1567 5.4060698 6 2022-05-11
1568 5.2504687 5 2022-05-12
1569 5.144017 2 2022-05-13
1570 4.798432 3 2022-05-14
1571 4.8549237 5 2022-05-15
1572 5.06958 3 2022-05-16
1573 4.8840714 3 2022-05-17
1574 4.8611097 8 2022-05-18
1575 5.3560333 8 2022-05-19
1576 5.4079266 4 2022-05-20
1577 5.057085 2 2022-05-21
1578 4.7906094 2 2022-05-22
1579 4.7316375 7 2022-05-23
1580 5.25026 2 2022-05-24
1581 4.795908 1 2022-05-25
1582 4.6183233 7 2022-05-26
1583 5.231476 1 2022-05-27
1584 4.673464 6 2022-05-28
1585 5.1618896 3 2022-05-29
1586 4.8926325 6 2022-05-30
1587 5.1887403 8 2022-05-31
1588 5.391841 5 2022-06-01
1589 5.151472 6 2022-06-02
1590 5.228428 3 2022-06-03
1591 4.919604 7 2022-06-05
1592 5.290117 8 2022-06-06
1593 5.4042 2 2022-06-07
1594 4.8388767 9 2022-06-08
1595 5.45411 4 2022-06-09
1596 5.0507703 6 2022-06-10
1597 5.2221556 8 2022-06-11
1598 5.400595 1 2022-06-12
1599 4.723013 5 2022-06-13
1600 5.07756 7 2022-06-14
1601 5.293062 1 2022-06-15
1602 4.69942 3 2022-06-16
1603 4.8446016 5 2022-06-17
1604 5.0641966 1 2022-06-18
1605 4.6494117 7 2022-06-19
1606 5.246633 8 2022-06-20
1607 5.3930745 1 2022-06-21
1608 4.7197785 1 2022-06-22
1609 4.6148605 4 2022-06-23
1610 4.918416 4 2022-06-24
1611 4.9652047 2 2022-06-25
1612 4.7505116 1 2022-06-26
1613 4.592516 12 2022-06-27
1614 5.607047 3 2022-06-28
1615 4.9584775 7 2022-06-29
1616 5.309398 6 2022-06-30
