 "Test Predictions" Actuals Date
1439 5.6944547 9 2022-01-01
1440 5.9288263 2 2022-01-03
1441 5.3969955 2 2022-01-04
1442 5.1490993 4 2022-01-05
1443 5.183619 3 2022-01-06
1444 5.1029787 6 2022-01-07
1445 5.2240896 3 2022-01-08
1446 5.055324 2 2022-01-09
1447 4.9828176 8 2022-01-10
1448 5.179805 4 2022-01-11
1449 5.0059004 8 2022-01-12
1450 5.1970987 2 2022-01-13
1451 4.896018 6 2022-01-14
1452 5.114468 5 2022-01-15
1453 5.0577264 4 2022-01-16
1454 4.4004936 7 2022-01-17
1455 4.8980675 6 2022-01-18
1456 5.201226 3 2022-01-19
1457 5.050879 5 2022-01-20
1458 5.153284 2 2022-01-21
1459 4.968628 8 2022-01-22
1460 5.2733464 5 2022-01-23
1461 5.1716485 1 2022-01-24
1462 4.9263096 5 2022-01-25
1463 5.1066866 3 2022-01-26
1464 4.980934 2 2022-01-27
1465 4.450198 4 2022-01-28
1466 4.978244 2 2022-01-29
1467 4.9020185 6 2022-01-30
1468 5.0087147 1 2022-01-31
1469 4.7976475 5 2022-02-01
1470 4.423192 7 2022-02-02
1471 4.389025 6 2022-02-03
1472 4.3369284 2 2022-02-04
1473 4.2792926 2 2022-02-05
1474 4.7478867 6 2022-02-07
1475 4.9355154 7 2022-02-08
1476 4.9904714 3 2022-02-09
1477 4.839715 3 2022-02-10
1478 4.858441 4 2022-02-11
1479 4.8917317 6 2022-02-12
1480 4.9458857 7 2022-02-13
1481 5.022455 3 2022-02-14
1482 4.8492208 1 2022-02-15
1483 4.783761 3 2022-02-16
1484 4.8678975 4 2022-02-17
1485 4.8320217 1 2022-02-18
1486 4.425982 1 2022-02-19
1487 4.337406 4 2022-02-20
1488 4.424653 7 2022-02-21
1489 4.430544 7 2022-02-22
1490 4.354898 5 2022-02-23
1491 4.2671304 7 2022-02-24
1492 4.322129 7 2022-02-25
1493 4.3354344 5 2022-02-26
1494 4.2797365 1 2022-02-27
1495 4.153389 5 2022-02-28
1496 4.353205 14 2022-03-01
1497 4.6720095 5 2022-03-02
1498 4.506332 3 2022-03-03
1499 4.658802 10 2022-03-04
1500 5.336647 1 2022-03-05
1501 4.9440746 6 2022-03-06
1502 4.613401 6 2022-03-07
1503 4.541853 3 2022-03-08
1504 4.558679 4 2022-03-09
1505 5.1137214 5 2022-03-10
1506 5.140605 3 2022-03-11
1507 4.4095945 2 2022-03-12
1508 4.392533 2 2022-03-13
1509 4.4293118 6 2022-03-14
1510 4.4875145 8 2022-03-15
1511 4.4665775 6 2022-03-16
1512 4.3687305 7 2022-03-17
1513 4.4111733 3 2022-03-18
1514 4.271858 7 2022-03-19
1515 4.452022 2 2022-03-20
1516 4.976702 7 2022-03-21
1517 5.3364277 5 2022-03-22
1518 5.2773895 5 2022-03-23
1519 5.283732 1 2022-03-24
1520 5.0148897 6 2022-03-25
1521 5.239783 6 2022-03-26
1522 5.236285 5 2022-03-27
1523 5.1860228 8 2022-03-28
1524 5.3474708 7 2022-03-29
1525 5.3567486 5 2022-03-30
1526 5.282138 5 2022-03-31
1527 5.2821274 5 2022-04-01
1528 5.2698917 6 2022-04-02
1529 5.3127565 10 2022-04-03
1530 5.5083857 7 2022-04-04
1531 5.430268 5 2022-04-05
1532 5.2710257 4 2022-04-06
1533 5.266915 4 2022-04-07
1534 4.512741 7 2022-04-08
1535 4.6409225 8 2022-04-09
1536 4.749321 4 2022-04-10
1537 5.1622124 4 2022-04-11
