 "Test Predictions" Actuals Date
1439 5.045164 9 2022-01-01
1440 5.1020017 2 2022-01-03
1441 4.9695024 2 2022-01-04
1442 4.971782 4 2022-01-05
1443 4.9983225 3 2022-01-06
1444 4.9803505 6 2022-01-07
1445 5.0520616 3 2022-01-08
1446 4.9784007 2 2022-01-09
1447 4.9716063 8 2022-01-10
1448 5.094532 4 2022-01-11
1449 4.9905806 8 2022-01-12
1450 5.0937514 2 2022-01-13
1451 4.9696245 6 2022-01-14
1452 5.0530615 5 2022-01-15
1453 5.016226 4 2022-01-16
1454 4.9953575 7 2022-01-17
1455 5.0763006 6 2022-01-18
1456 5.042911 3 2022-01-19
1457 4.9787188 5 2022-01-20
1458 5.0229845 2 2022-01-21
1459 4.9707747 8 2022-01-22
1460 5.0945673 5 2022-01-23
1461 5.0126085 1 2022-01-24
1462 4.966076 5 2022-01-25
1463 5.0241413 3 2022-01-26
1464 4.9793873 2 2022-01-27
1465 4.9715867 4 2022-01-28
1466 4.998337 2 2022-01-29
1467 4.971224 6 2022-01-30
1468 5.052907 1 2022-01-31
1469 4.9658046 5 2022-02-01
1470 5.02417 7 2022-02-02
1471 5.0742073 6 2022-02-03
1472 5.043114 2 2022-02-04
1473 4.9704275 2 2022-02-05
1474 4.9717627 6 2022-02-07
1475 5.0528555 7 2022-02-08
1476 5.072045 3 2022-02-09
1477 4.97773 3 2022-02-10
1478 4.9811573 4 2022-02-11
1479 4.997685 6 2022-02-12
1480 5.050435 7 2022-02-13
1481 5.072231 3 2022-02-14
1482 4.977724 1 2022-02-15
1483 4.966336 3 2022-02-16
1484 4.9816055 4 2022-02-17
1485 4.997654 1 2022-02-18
1486 4.966184 1 2022-02-19
1487 4.966422 4 2022-02-20
1488 4.998682 7 2022-02-21
1489 5.076062 7 2022-02-22
1490 5.07024 5 2022-02-23
1491 5.014715 7 2022-02-24
1492 5.074905 7 2022-02-25
1493 5.0703316 5 2022-02-26
1494 5.014707 1 2022-02-27
1495 4.966061 5 2022-02-28
1496 5.024143 14 2022-03-01
1497 5.143889 5 2022-03-02
1498 5.0109615 3 2022-03-03
1499 4.9798746 10 2022-03-04
1500 5.1081705 1 2022-03-05
1501 4.965479 6 2022-03-06
1502 5.0534363 6 2022-03-07
1503 5.0451174 3 2022-03-08
1504 4.9786415 4 2022-03-09
1505 4.997859 5 2022-03-10
1506 5.0212145 3 2022-03-11
1507 4.979494 2 2022-03-12
1508 4.9715843 2 2022-03-13
