 "Train Predictions" Actuals
335 5.2955294 6
336 5.274449 5
337 5.5821376 8
338 5.8502812 7
339 5.7563615 4
340 5.523878 1
341 5.2505937 3
342 5.287546 4
343 4.97014 11
344 4.7541413 7
345 4.841142 3
346 5.2241845 2
347 5.314614 7
348 5.6604133 3
349 5.1060863 6
350 4.8465114 5
351 5.067238 3
352 5.27963 4
353 5.034588 6
354 5.335641 11
355 5.397901 2
356 5.05627 4
357 5.3081665 6
358 5.5409403 14
359 5.755943 8
360 5.300693 6
361 5.6237206 4
362 5.6968594 7
363 5.887856 6
364 5.6662087 5
365 5.4786763 8
366 5.562838 7
367 5.711556 3
368 5.459186 5
369 5.4960866 5
370 5.5617986 3
371 5.231771 6
372 5.073108 5
373 5.270937 3
374 5.098059 9
375 5.2973304 3
376 5.308922 3
377 5.1215672 4
378 5.0984945 12
379 5.6016726 6
380 5.1160827 6
381 5.3927007 5
382 5.6036687 8
383 5.8773437 3
384 5.4393306 6
385 5.50894 5
386 5.4468017 3
387 5.3468637 6
388 5.164613 16
389 5.623563 10
390 5.562138 3
391 5.416766 12
392 5.911631 6
393 5.906592 4
394 5.633405 1
395 5.1908555 4
396 5.4830413 7
397 5.12072 4
398 4.720516 3
399 4.640419 7
400 5.339331 3
401 5.26882 7
402 5.17587 2
403 5.010363 1
404 4.9838977 4
405 4.654122 4
406 4.7816973 11
407 4.463771 5
408 4.8615527 7
409 5.48087 6
410 5.626704 9
411 5.8948374 3
412 5.465502 1
413 5.299219 3
414 5.1802626 1
415 4.76788 7
416 3.950087 13
417 4.4600306 5
418 5.027954 2
419 5.10687 4
420 5.553041 9
421 5.7497497 6
422 5.2053785 5
423 5.1591163 8
424 5.639458 3
425 5.583958 4
426 5.3941283 10
427 5.5783067 6
428 5.5575724 2
429 5.090743 5
430 5.410893 12
431 5.7966666 3
432 5.221518 3
433 5.0440655 13
434 5.7043657 3
435 5.518373 3
436 5.0047245 5
437 5.3206525 8
438 5.697141 3
439 4.9025655 6
440 5.2382727 5
441 5.4468017 6
442 5.5308366 6
443 5.3130345 6
444 5.556619 2
445 5.281898 4
446 5.330563 4
447 5.2086983 13
448 5.3390307 8
449 5.1812134 8
450 5.6054597 7
451 5.7717924 6
452 5.9067235 6
453 5.7781615 9
454 5.8451304 7
455 5.748958 7
456 5.728722 4
457 5.6355076 7
458 5.7844334 7
459 5.6987014 5
460 5.5657125 5
461 5.4585743 11
462 5.802146 4
463 5.5504823 4
464 5.4259777 8
465 5.6574583 5
466 5.6616764 7
467 5.4102044 3
468 5.3620405 6
