 "Test Predictions" Actuals Date
1439 5.028848 9 2022-01-01
1440 5.028848 2 2022-01-03
1441 5.028848 2 2022-01-04
1442 5.028848 4 2022-01-05
1443 5.028848 3 2022-01-06
1444 5.028848 6 2022-01-07
1445 5.028848 3 2022-01-08
1446 5.028848 2 2022-01-09
1447 5.028848 8 2022-01-10
1448 5.028848 4 2022-01-11
1449 5.028848 8 2022-01-12
1450 5.028848 2 2022-01-13
1451 5.028848 6 2022-01-14
1452 5.028848 5 2022-01-15
1453 5.028848 4 2022-01-16
1454 5.028848 7 2022-01-17
1455 5.028848 6 2022-01-18
1456 5.028848 3 2022-01-19
1457 5.028848 5 2022-01-20
1458 5.028848 2 2022-01-21
1459 5.028848 8 2022-01-22
1460 5.028848 5 2022-01-23
1461 5.028848 1 2022-01-24
1462 5.028848 5 2022-01-25
1463 5.028848 3 2022-01-26
1464 5.028848 2 2022-01-27
1465 5.028848 4 2022-01-28
1466 5.028848 2 2022-01-29
1467 5.028848 6 2022-01-30
1468 5.028848 1 2022-01-31
1469 5.028848 5 2022-02-01
1470 5.028848 7 2022-02-02
1471 5.028848 6 2022-02-03
1472 5.028848 2 2022-02-04
1473 5.028848 2 2022-02-05
1474 5.028848 6 2022-02-07
1475 5.028848 7 2022-02-08
1476 5.028848 3 2022-02-09
1477 5.028848 3 2022-02-10
1478 5.028848 4 2022-02-11
1479 5.028848 6 2022-02-12
1480 5.028848 7 2022-02-13
1481 5.028848 3 2022-02-14
1482 5.028848 1 2022-02-15
1483 5.028848 3 2022-02-16
1484 5.028848 4 2022-02-17
1485 5.028848 1 2022-02-18
1486 5.028848 1 2022-02-19
1487 5.028848 4 2022-02-20
1488 5.028848 7 2022-02-21
1489 5.028848 7 2022-02-22
1490 5.028848 5 2022-02-23
1491 5.028848 7 2022-02-24
1492 5.028848 7 2022-02-25
1493 5.028848 5 2022-02-26
1494 5.028848 1 2022-02-27
1495 5.028848 5 2022-02-28
1496 5.028848 14 2022-03-01
1497 5.028848 5 2022-03-02
1498 5.028848 3 2022-03-03
1499 5.028848 10 2022-03-04
1500 5.028848 1 2022-03-05
1501 5.028848 6 2022-03-06
1502 5.028848 6 2022-03-07
1503 5.028848 3 2022-03-08
1504 5.028848 4 2022-03-09
1505 5.028848 5 2022-03-10
1506 5.028848 3 2022-03-11
1507 5.028848 2 2022-03-12
1508 5.028848 2 2022-03-13
1509 5.028848 6 2022-03-14
1510 5.028848 8 2022-03-15
1511 5.028848 6 2022-03-16
1512 5.028848 7 2022-03-17
1513 5.028848 3 2022-03-18
1514 5.028848 7 2022-03-19
1515 5.028848 2 2022-03-20
1516 5.028848 7 2022-03-21
1517 5.028848 5 2022-03-22
1518 5.028848 5 2022-03-23
1519 5.028848 1 2022-03-24
1520 5.028848 6 2022-03-25
1521 5.028848 6 2022-03-26
1522 5.028848 5 2022-03-27
1523 5.028848 8 2022-03-28
1524 5.028848 7 2022-03-29
1525 5.028848 5 2022-03-30
1526 5.028848 5 2022-03-31
1527 5.028848 5 2022-04-01
1528 5.028848 6 2022-04-02
1529 5.028848 10 2022-04-03
1530 5.028848 7 2022-04-04
1531 5.028848 5 2022-04-05
1532 5.028848 4 2022-04-06
1533 5.028848 4 2022-04-07
1534 5.028848 7 2022-04-08
1535 5.028848 8 2022-04-09
1536 5.028848 4 2022-04-10
1537 5.028848 4 2022-04-11
1538 5.028848 1 2022-04-12
1539 5.028848 7 2022-04-13
1540 5.028848 3 2022-04-14
1541 5.028848 2 2022-04-15
1542 5.028848 4 2022-04-16
1543 5.028848 5 2022-04-17
1544 5.028848 5 2022-04-18
1545 5.028848 3 2022-04-19
1546 5.028848 7 2022-04-20
1547 5.028848 3 2022-04-21
1548 5.028848 4 2022-04-22
1549 5.028848 5 2022-04-23
1550 5.028848 2 2022-04-24
