 "Test Predictions" Actuals Date
1439 5.36006 9 2022-01-01
1440 5.360373 2 2022-01-03
1441 4.7922115 2 2022-01-04
1442 4.792209 4 2022-01-05
1443 4.792647 3 2022-01-06
1444 4.792212 6 2022-01-07
1445 5.3309245 3 2022-01-08
1446 4.7924914 2 2022-01-09
1447 4.792209 8 2022-01-10
1448 5.3603716 4 2022-01-11
1449 4.8430877 8 2022-01-12
1450 5.3603725 2 2022-01-13
1451 4.7922115 6 2022-01-14
1452 5.3309245 5 2022-01-15
1453 5.31593 4 2022-01-16
1454 4.828041 7 2022-01-17
1455 5.3602247 6 2022-01-18
1456 5.3601294 3 2022-01-19
1457 4.792571 5 2022-01-20
1458 4.8526864 2 2022-01-21
1459 4.792209 8 2022-01-22
1460 5.3603716 5 2022-01-23
1461 5.3251944 1 2022-01-24
1462 4.7922087 5 2022-01-25
1463 4.8525205 3 2022-01-26
1464 4.792214 2 2022-01-27
1465 4.792209 4 2022-01-28
1466 4.792647 2 2022-01-29
1467 4.792209 6 2022-01-30
1468 5.330924 1 2022-01-31
1469 4.7922087 5 2022-02-01
1470 4.8525205 7 2022-02-02
1471 5.360253 6 2022-02-03
1472 5.3601294 2 2022-02-04
1473 4.7922115 2 2022-02-05
1474 4.792209 6 2022-02-07
1475 5.330924 7 2022-02-08
1476 5.360371 3 2022-02-09
1477 4.7925715 3 2022-02-10
1478 4.792212 4 2022-02-11
1479 4.792647 6 2022-02-12
1480 5.331028 7 2022-02-13
1481 5.360371 3 2022-02-14
1482 4.7925715 1 2022-02-15
1483 4.7922087 3 2022-02-16
1484 4.792212 4 2022-02-17
1485 4.792647 1 2022-02-18
1486 4.7922087 1 2022-02-19
1487 4.7922087 4 2022-02-20
1488 4.792647 7 2022-02-21
1489 5.3601723 7 2022-02-22
1490 5.3603716 5 2022-02-23
1491 5.3251944 7 2022-02-24
1492 5.360371 7 2022-02-25
1493 5.3603716 5 2022-02-26
1494 5.3251944 1 2022-02-27
1495 4.7922087 5 2022-02-28
1496 4.8525205 14 2022-03-01
1497 5.3613963 5 2022-03-02
1498 5.3253093 3 2022-03-03
1499 4.792478 10 2022-03-04
1500 5.360373 1 2022-03-05
1501 4.7922087 6 2022-03-06
1502 5.330924 6 2022-03-07
1503 5.36006 3 2022-03-08
1504 4.792571 4 2022-03-09
1505 4.7926483 5 2022-03-10
1506 4.852722 3 2022-03-11
1507 4.792214 2 2022-03-12
1508 4.792209 2 2022-03-13
1509 4.792209 6 2022-03-14
1510 5.330924 8 2022-03-15
1511 5.360373 6 2022-03-16
1512 5.36013 7 2022-03-17
1513 5.3603716 3 2022-03-18
1514 4.7925715 7 2022-03-19
1515 5.3601723 2 2022-03-20
1516 4.7922115 7 2022-03-21
1517 5.360172 5 2022-03-22
1518 5.3251376 5 2022-03-23
1519 5.3138638 1 2022-03-24
1520 4.7922087 6 2022-03-25
1521 5.330924 6 2022-03-26
1522 5.36006 5 2022-03-27
1523 5.325106 8 2022-03-28
1524 5.360373 7 2022-03-29
1525 5.3603716 5 2022-03-30
1526 5.3251944 5 2022-03-31
1527 5.3138843 5 2022-04-01
1528 5.3095946 6 2022-04-02
1529 5.3599977 10 2022-04-03
1530 5.360373 7 2022-04-04
1531 5.3603716 5 2022-04-05
1532 5.3251944 4 2022-04-06
1533 4.830789 4 2022-04-07
1534 4.7928176 7 2022-04-08
1535 5.3601727 8 2022-04-09
