 "Test Predictions" Actuals Date
1439 5.858541 9 2022-01-01
1440 5.9528685 2 2022-01-03
1441 5.323159 2 2022-01-04
1442 5.655772 4 2022-01-05
1443 5.7894135 3 2022-01-06
1444 5.487477 6 2022-01-07
1445 5.623378 3 2022-01-08
1446 5.0862484 2 2022-01-09
1447 5.1721344 8 2022-01-10
1448 5.430392 4 2022-01-11
1449 4.7385116 8 2022-01-12
1450 5.0892696 2 2022-01-13
1451 4.380975 6 2022-01-14
1452 4.9992585 5 2022-01-15
1453 4.7512608 4 2022-01-16
1454 4.619563 7 2022-01-17
1455 4.9665713 6 2022-01-18
1456 4.790413 3 2022-01-19
1457 4.540505 5 2022-01-20
1458 4.965293 2 2022-01-21
1459 4.685192 8 2022-01-22
1460 5.211742 5 2022-01-23
1461 5.151753 1 2022-01-24
1462 4.8143005 5 2022-01-25
1463 5.2359266 3 2022-01-26
1464 4.731129 2 2022-01-27
1465 4.916153 4 2022-01-28
1466 5.199773 2 2022-01-29
1467 4.9862595 6 2022-01-30
1468 5.177413 1 2022-01-31
1469 4.5861387 5 2022-02-01
1470 5.0682344 7 2022-02-02
1471 4.999726 6 2022-02-03
1472 4.7840853 2 2022-02-04
1473 4.457882 2 2022-02-05
1474 4.9970813 6 2022-02-07
1475 5.243349 7 2022-02-08
1476 4.9656286 3 2022-02-09
1477 4.4567523 3 2022-02-10
1478 4.7879972 4 2022-02-11
1479 4.975453 6 2022-02-12
1480 4.997479 7 2022-02-13
1481 4.965544 3 2022-02-14
1482 4.4773407 1 2022-02-15
1483 4.948494 3 2022-02-16
1484 5.583429 4 2022-02-17
1485 5.3915443 1 2022-02-18
1486 5.106558 1 2022-02-19
1487 5.9711623 4 2022-02-20
1488 6.2734866 7 2022-02-21
1489 5.2897677 7 2022-02-22
1490 4.916588 5 2022-02-23
1491 4.653663 7 2022-02-24
1492 4.9242606 7 2022-02-25
1493 4.8766313 5 2022-02-26
1494 4.644913 1 2022-02-27
1495 4.605135 5 2022-02-28
1496 5.1351523 14 2022-03-01
1497 4.978887 5 2022-03-02
1498 4.5586557 3 2022-03-03
1499 4.5739946 10 2022-03-04
1500 5.045733 1 2022-03-05
1501 4.3018074 6 2022-03-06
1502 5.0028167 6 2022-03-07
1503 4.850403 3 2022-03-08
1504 4.4901 4 2022-03-09
1505 4.792269 5 2022-03-10
1506 4.8771133 3 2022-03-11
1507 4.6035104 2 2022-03-12
1508 4.8849735 2 2022-03-13
1509 5.414383 6 2022-03-14
