 "Test Predictions" Actuals Date
1439 5.349265 9 2022-01-01
1440 5.572931 2 2022-01-03
1441 5.072355 2 2022-01-04
1442 4.976995 4 2022-01-05
1443 5.110787 3 2022-01-06
1444 5.0055995 6 2022-01-07
1445 5.2505026 3 2022-01-08
1446 5.024508 2 2022-01-09
1447 4.8674364 8 2022-01-10
1448 5.338886 4 2022-01-11
1449 5.1266932 8 2022-01-12
1450 5.4337535 2 2022-01-13
1451 4.992061 6 2022-01-14
1452 5.290575 5 2022-01-15
1453 5.254781 4 2022-01-16
1454 5.172932 7 2022-01-17
1455 5.405366 6 2022-01-18
1456 5.385545 3 2022-01-19
1457 5.134138 5 2022-01-20
1458 5.269251 2 2022-01-21
1459 4.9796023 8 2022-01-22
1460 5.4281473 5 2022-01-23
1461 5.2904134 1 2022-01-24
1462 4.877805 5 2022-01-25
1463 5.1760106 3 2022-01-26
1464 5.010938 2 2022-01-27
1465 4.8583264 4 2022-01-28
1466 5.0010924 2 2022-01-29
1467 4.794081 6 2022-01-30
1468 5.130464 1 2022-01-31
1469 4.6933923 5 2022-02-01
1470 5.013784 7 2022-02-02
1471 5.241319 6 2022-02-03
1472 5.263046 2 2022-02-04
1473 4.922524 2 2022-02-05
1474 4.8373504 6 2022-02-07
1475 5.16696 7 2022-02-08
1476 5.318361 3 2022-02-09
1477 5.039867 3 2022-02-10
1478 4.9906273 4 2022-02-11
1479 5.054484 6 2022-02-12
1480 5.2370768 7 2022-02-13
1481 5.368708 3 2022-02-14
1482 5.0796437 1 2022-02-15
1483 4.7998414 3 2022-02-16
1484 4.908439 4 2022-02-17
1485 4.9872317 1 2022-02-18
1486 4.6632285 1 2022-02-19
1487 4.5502768 4 2022-02-20
1488 4.7895865 7 2022-02-21
1489 5.108343 7 2022-02-22
1490 5.2409534 5 2022-02-23
1491 5.175539 7 2022-02-24
1492 5.359859 7 2022-02-25
1493 5.4230995 5 2022-02-26
1494 5.312649 1 2022-02-27
1495 4.8982396 5 2022-02-28
1496 5.195456 14 2022-03-01
1497 5.6835876 5 2022-03-02
1498 5.349492 3 2022-03-03
1499 5.150808 10 2022-03-04
1500 5.6087966 1 2022-03-05
1501 4.968104 6 2022-03-06
1502 5.339131 6 2022-03-07
1503 5.3834443 3 2022-03-08
1504 5.1379504 4 2022-03-09
1505 5.1838675 5 2022-03-10
1506 5.26158 3 2022-03-11
1507 5.08141 2 2022-03-12
1508 4.9234004 2 2022-03-13
1509 4.844397 6 2022-03-14
1510 5.1760087 8 2022-03-15
1511 5.3949866 6 2022-03-16
1512 5.346124 7 2022-03-17
1513 5.448726 3 2022-03-18
1514 5.1458907 7 2022-03-19
1515 5.433759 2 2022-03-20
1516 5.032159 7 2022-03-21
1517 5.4024606 5 2022-03-22
1518 5.3056827 5 2022-03-23
1519 5.3053956 1 2022-03-24
1520 4.8941894 6 2022-03-25
1521 5.276739 6 2022-03-26
1522 5.3302264 5 2022-03-27
1523 5.282231 8 2022-03-28
1524 5.506636 7 2022-03-29
1525 5.4980826 5 2022-03-30
1526 5.3703322 5 2022-03-31
1527 5.3564634 5 2022-04-01
1528 5.348773 6 2022-04-02
1529 5.4243445 10 2022-04-03
1530 5.6733785 7 2022-04-04
1531 5.56097 5 2022-04-05
1532 5.418875 4 2022-04-06
1533 5.311872 4 2022-04-07
1534 5.2815623 7 2022-04-08
1535 5.4987254 8 2022-04-09
1536 5.5925965 4 2022-04-10
1537 5.32447 4 2022-04-11
1538 5.286589 1 2022-04-12
1539 4.945688 7 2022-04-13
1540 5.4042087 3 2022-04-14
