 "Test Predictions" Actuals Date
1439 5.112361 9 2022-01-01
1440 5.2682133 2 2022-01-03
1441 4.934272 2 2022-01-04
1442 4.8815746 4 2022-01-05
1443 4.9706516 3 2022-01-06
1444 4.931776 6 2022-01-07
1445 5.0877457 3 2022-01-08
1446 4.9517827 2 2022-01-09
1447 4.879472 8 2022-01-10
1448 5.180909 4 2022-01-11
1449 5.0169363 8 2022-01-12
1450 5.210989 2 2022-01-13
1451 4.922411 6 2022-01-14
1452 5.0924187 5 2022-01-15
1453 5.061648 4 2022-01-16
1454 5.006336 7 2022-01-17
1455 5.1584597 6 2022-01-18
1456 5.1277146 3 2022-01-19
1457 4.96603 5 2022-01-20
1458 5.0461173 2 2022-01-21
1459 4.89582 8 2022-01-22
1460 5.186676 5 2022-01-23
1461 5.0733643 1 2022-01-24
1462 4.851979 5 2022-01-25
1463 5.0203185 3 2022-01-26
1464 4.939696 2 2022-01-27
1465 4.8759184 4 2022-01-28
1466 4.967373 2 2022-01-29
1467 4.8777666 6 2022-01-30
1468 5.075823 1 2022-01-31
1469 4.844228 5 2022-02-01
1470 5.016047 7 2022-02-02
1471 5.152035 6 2022-02-03
1472 5.1241813 2 2022-02-04
1473 4.910952 2 2022-02-05
1474 4.873222 6 2022-02-07
1475 5.0752845 7 2022-02-08
1476 5.1622825 3 2022-02-09
1477 4.9665284 3 2022-02-10
1478 4.9370503 4 2022-02-11
1479 4.981245 6 2022-02-12
1480 5.096604 7 2022-02-13
1481 5.169027 3 2022-02-14
1482 4.9693165 1 2022-02-15
1483 4.833662 3 2022-02-16
1484 4.9073095 4 2022-02-17
1485 4.971353 1 2022-02-18
1486 4.827452 1 2022-02-19
1487 4.8014736 4 2022-02-20
1488 4.948373 7 2022-02-21
1489 5.1378503 7 2022-02-22
1490 5.1716123 5 2022-02-23
1491 5.076635 7 2022-02-24
1492 5.1723747 7 2022-02-25
1493 5.1845474 5 2022-02-26
1494 5.083398 1 2022-02-27
1495 4.8563423 5 2022-02-28
1496 5.022327 14 2022-03-01
1497 5.395109 5 2022-03-02
1498 5.107127 3 2022-03-03
1499 4.9707994 10 2022-03-04
1500 5.2903614 1 2022-03-05
1501 4.885198 6 2022-03-06
1502 5.0868435 6 2022-03-07
1503 5.1148553 3 2022-03-08
1504 4.961989 4 2022-03-09
1505 4.990296 5 2022-03-10
1506 5.046117 3 2022-03-11
1507 4.94784 2 2022-03-12
1508 4.8789325 2 2022-03-13
1509 4.8637314 6 2022-03-14
1510 5.071556 8 2022-03-15
1511 5.2106166 6 2022-03-16
1512 5.1340604 7 2022-03-17
1513 5.181888 3 2022-03-18
1514 4.975045 7 2022-03-19
1515 5.156859 2 2022-03-20
1516 4.914446 7 2022-03-21
1517 5.143038 5 2022-03-22
1518 5.068896 5 2022-03-23
1519 5.063488 1 2022-03-24
1520 4.8494625 6 2022-03-25
1521 5.0738077 6 2022-03-26
1522 5.1096787 5 2022-03-27
1523 5.0668097 8 2022-03-28
1524 5.2187443 7 2022-03-29
1525 5.190317 5 2022-03-30
1526 5.0860286 5 2022-03-31
1527 5.0707955 5 2022-04-01
1528 5.0652475 6 2022-04-02
1529 5.1172495 10 2022-04-03
1530 5.309159 7 2022-04-04
1531 5.2041073 5 2022-04-05
1532 5.092725 4 2022-04-06
1533 5.020033 4 2022-04-07
1534 5.003356 7 2022-04-08
1535 5.1584725 8 2022-04-09
1536 5.229667 4 2022-04-10
1537 5.03567 4 2022-04-11
1538 5.0083323 1 2022-04-12
1539 4.84073 7 2022-04-13
1540 5.1243706 3 2022-04-14
1541 4.9558077 2 2022-04-15
1542 4.881148 4 2022-04-16
1543 4.969578 5 2022-04-17
1544 5.0383434 5 2022-04-18
1545 5.0521035 3 2022-04-19
1546 4.9487944 7 2022-04-20
1547 5.1467237 3 2022-04-21
1548 4.961928 4 2022-04-22
1549 4.989143 5 2022-04-23
1550 5.0450406 2 2022-04-24
1551 4.8945255 2 2022-04-25
1552 4.868015 3 2022-04-26
1553 4.911961 4 2022-04-27
1554 4.9722705 4 2022-04-28
1555 4.984169 14 2022-04-29
1556 5.3908057 6 2022-04-30
1557 5.1573024 14 2022-05-01
1558 5.4181724 4 2022-05-02
1559 5.0688887 10 2022-05-03
1560 5.3130307 4 2022-05-04
1561 5.051752 4 2022-05-05
1562 5.016288 7 2022-05-06
1563 5.1638174 4 2022-05-07
1564 5.0235415 6 2022-05-08
1565 5.1127834 6 2022-05-09
1566 5.123572 8 2022-05-10
1567 5.2283583 6 2022-05-11
1568 5.142804 5 2022-05-12
1569 5.0809336 2 2022-05-13
1570 4.9087377 3 2022-05-14
1571 4.926725 5 2022-05-15
1572 5.032929 3 2022-05-16
1573 4.9436693 3 2022-05-17
1574 4.9297876 8 2022-05-18
1575 5.190704 8 2022-05-19
1576 5.229524 4 2022-05-20
1577 5.0340877 2 2022-05-21
1578 4.9000998 2 2022-05-22
1579 4.870986 7 2022-05-23
1580 5.1280227 2 2022-05-24
1581 4.9042635 1 2022-05-25
1582 4.819124 7 2022-05-26
1583 5.116076 1 2022-05-27
1584 4.849285 6 2022-05-28
1585 5.0721354 3 2022-05-29
1586 4.9467397 6 2022-05-30
1587 5.092343 8 2022-05-31
1588 5.2170405 5 2022-06-01
1589 5.0830054 6 2022-06-02
1590 5.1226387 3 2022-06-03
1591 4.9644313 7 2022-06-05
1592 5.152975 8 2022-06-06
1593 5.227625 2 2022-06-07
1594 4.9290795 9 2022-06-08
1595 5.2437572 4 2022-06-09
1596 5.0310564 6 2022-06-10
1597 5.114967 8 2022-06-11
1598 5.2254877 1 2022-06-12
1599 4.877786 5 2022-06-13
1600 5.0297804 7 2022-06-14
1601 5.158042 1 2022-06-15
1602 4.8629627 3 2022-06-16
1603 4.9164176 5 2022-06-17
1604 5.028989 1 2022-06-18
1605 4.838333 7 2022-06-19
1606 5.1222377 8 2022-06-20
1607 5.21747 1 2022-06-21
1608 4.8723807 1 2022-06-22
1609 4.8149457 4 2022-06-23
1610 4.954084 4 2022-06-24
1611 4.9790626 2 2022-06-25
1612 4.8808393 1 2022-06-26
1613 4.812044 12 2022-06-27
1614 5.3184605 3 2022-06-28
1615 4.980401 7 2022-06-29
1616 5.1571803 6 2022-06-30
