 "Test Predictions" Actuals Date
1439 4.9658318 9 2022-01-01
1440 4.986073 2 2022-01-03
1441 4.825433 2 2022-01-04
1442 4.8478594 4 2022-01-05
1443 4.9243917 3 2022-01-06
1444 4.8971577 6 2022-01-07
1445 4.974571 3 2022-01-08
1446 4.8926907 2 2022-01-09
1447 4.8566685 8 2022-01-10
1448 4.990452 4 2022-01-11
1449 4.901804 8 2022-01-12
1450 4.977791 2 2022-01-13
1451 4.8261256 6 2022-01-14
1452 4.953267 5 2022-01-15
1453 4.9341865 4 2022-01-16
1454 4.9154625 7 2022-01-17
1455 4.97952 6 2022-01-18
1456 4.954071 3 2022-01-19
1457 4.883402 5 2022-01-20
1458 4.951455 2 2022-01-21
1459 4.8618984 8 2022-01-22
1460 4.997612 5 2022-01-23
1461 4.9350553 1 2022-01-24
1462 4.809263 5 2022-01-25
1463 4.9471164 3 2022-01-26
1464 4.8916163 2 2022-01-27
1465 4.8548174 4 2022-01-28
1466 4.9183035 2 2022-01-29
1467 4.846243 6 2022-01-30
1468 4.9565897 1 2022-01-31
1469 4.7877927 5 2022-02-01
1470 4.9186254 7 2022-02-02
1471 4.9550877 6 2022-02-03
1472 4.9330244 2 2022-02-04
1473 4.823936 2 2022-02-05
1474 4.8300166 6 2022-02-07
1475 4.946946 7 2022-02-08
1476 4.959135 3 2022-02-09
1477 4.8627205 3 2022-02-10
1478 4.873669 4 2022-02-11
1479 4.9105206 6 2022-02-12
1480 4.9571953 7 2022-02-13
1481 4.96646 3 2022-02-14
1482 4.868527 1 2022-02-15
1483 4.7980013 3 2022-02-16
1484 4.872693 4 2022-02-17
1485 4.904392 1 2022-02-18
1486 4.7837076 1 2022-02-19
1487 4.753764 4 2022-02-20
1488 4.8492713 7 2022-02-21
1489 4.9205236 7 2022-02-22
1490 4.9196825 5 2022-02-23
1491 4.88869 7 2022-02-24
1492 4.9344864 7 2022-02-25
1493 4.9324894 5 2022-02-26
1494 4.9032974 1 2022-02-27
1495 4.783758 5 2022-02-28
1496 4.9293785 14 2022-03-01
1497 4.939372 5 2022-03-02
1498 4.837389 3 2022-03-03
1499 4.8300686 10 2022-03-04
1500 4.9493523 1 2022-03-05
1501 4.7482796 6 2022-03-06
1502 4.928626 6 2022-03-07
1503 4.93597 3 2022-03-08
1504 4.8703136 4 2022-03-09
1505 4.916854 5 2022-03-10
1506 4.949045 3 2022-03-11
1507 4.8949947 2 2022-03-12
1508 4.8615465 2 2022-03-13
1509 4.85841 6 2022-03-14
1510 4.968812 8 2022-03-15
1511 4.98339 6 2022-03-16
1512 4.9408436 7 2022-03-17
1513 4.9569607 3 2022-03-18
1514 4.867341 7 2022-03-19
1515 4.971992 2 2022-03-20
1516 4.842614 7 2022-03-21
1517 4.9788547 5 2022-03-22
1518 4.938031 5 2022-03-23
1519 4.946579 1 2022-03-24
1520 4.8172565 6 2022-03-25
1521 4.9732094 6 2022-03-26
1522 4.967272 5 2022-03-27
1523 4.9455385 8 2022-03-28
1524 4.9875617 7 2022-03-29
1525 4.957614 5 2022-03-30
1526 4.9243174 5 2022-03-31
1527 4.938719 5 2022-04-01
1528 4.947358 6 2022-04-02
1529 4.9698787 10 2022-04-03
1530 4.98767 7 2022-04-04
1531 4.934206 5 2022-04-05
1532 4.910548 4 2022-04-06
1533 4.9082594 4 2022-04-07
1534 4.925828 7 2022-04-08
1535 4.9897537 8 2022-04-09
1536 4.9834843 4 2022-04-10
1537 4.905011 4 2022-04-11
1538 4.9242887 1 2022-04-12
1539 4.828804 7 2022-04-13
1540 4.9970675 3 2022-04-14
1541 4.89909 2 2022-04-15
1542 4.871226 4 2022-04-16
1543 4.9387965 5 2022-04-17
1544 4.9629736 5 2022-04-18
1545 4.959063 3 2022-04-19
1546 4.90176 7 2022-04-20
1547 4.9923763 3 2022-04-21
1548 4.89048 4 2022-04-22
1549 4.9291835 5 2022-04-23
1550 4.9567323 2 2022-04-24
1551 4.862463 2 2022-04-25
1552 4.861718 3 2022-04-26
1553 4.8931255 4 2022-04-27
1554 4.921054 4 2022-04-28
1555 4.918151 14 2022-04-29
1556 4.9543886 6 2022-04-30
1557 4.863757 14 2022-05-01
1558 4.8755975 4 2022-05-02
1559 4.770327 10 2022-05-03
1560 4.891542 4 2022-05-04
1561 4.8164496 4 2022-05-05
1562 4.865246 7 2022-05-06
1563 4.945129 4 2022-05-07
1564 4.892297 6 2022-05-08
1565 4.9536467 6 2022-05-09
1566 4.9547844 8 2022-05-10
1567 4.9745264 6 2022-05-11
1568 4.9364038 5 2022-05-12
1569 4.9278717 2 2022-05-13
1570 4.853137 3 2022-05-14
1571 4.9059005 5 2022-05-15
1572 4.966857 3 2022-05-16
1573 4.910972 3 2022-05-17
1574 4.9141736 8 2022-05-18
1575 5.0093765 8 2022-05-19
1576 4.9809675 4 2022-05-20
1577 4.901357 2 2022-05-21
1578 4.8528748 2 2022-05-22
1579 4.8621616 7 2022-05-23
1580 4.990205 2 2022-05-24
1581 4.85277 1 2022-05-25
1582 4.8115215 7 2022-05-26
1583 4.9775305 1 2022-05-27
1584 4.7941976 6 2022-05-28
1585 4.950944 3 2022-05-29
1586 4.8722277 6 2022-05-30
1587 4.9552956 8 2022-05-31
1588 4.9718704 5 2022-06-01
1589 4.9144964 6 2022-06-02
1590 4.9443927 3 2022-06-03
1591 4.8739977 7 2022-06-05
1592 4.9735374 8 2022-06-06
1593 4.9706373 2 2022-06-07
1594 4.827286 9 2022-06-08
1595 4.978729 4 2022-06-09
1596 4.885845 6 2022-06-10
1597 4.950212 8 2022-06-11
1598 4.9712796 1 2022-06-12
1599 4.7861176 5 2022-06-13
1600 4.937571 7 2022-06-14
1601 4.974549 1 2022-06-15
1602 4.802678 3 2022-06-16
1603 4.890312 5 2022-06-17
1604 4.9512653 1 2022-06-18
1605 4.8128195 7 2022-06-19
1606 4.9782896 8 2022-06-20
1607 4.971992 1 2022-06-21
1608 4.7797203 1 2022-06-22
1609 4.785379 4 2022-06-23
1610 4.896706 4 2022-06-24
1611 4.902465 2 2022-06-25
1612 4.8322487 1 2022-06-26
1613 4.775341 12 2022-06-27
1614 4.9490356 3 2022-06-28
1615 4.7973127 7 2022-06-29
1616 4.9201403 6 2022-06-30
