 "Test Predictions" Actuals Date
1439 5.0591726 9 2022-01-01
1440 5.0647798 2 2022-01-03
1441 5.02252 2 2022-01-04
1442 5.002676 4 2022-01-05
1443 5.02098 3 2022-01-06
1444 5.01719 6 2022-01-07
1445 5.03516 3 2022-01-08
1446 5.0270033 2 2022-01-09
1447 4.9933176 8 2022-01-10
1448 5.020835 4 2022-01-11
1449 5.030625 8 2022-01-12
1450 5.042591 2 2022-01-13
1451 5.007188 6 2022-01-14
1452 5.029579 5 2022-01-15
1453 5.0457425 4 2022-01-16
1454 5.0398917 7 2022-01-17
1455 5.0552483 6 2022-01-18
1456 5.064877 3 2022-01-19
1457 5.0428762 5 2022-01-20
1458 5.0525866 2 2022-01-21
1459 5.02655 8 2022-01-22
1460 5.046514 5 2022-01-23
1461 5.0605545 1 2022-01-24
1462 5.0009766 5 2022-01-25
1463 5.0232205 3 2022-01-26
1464 5.0222473 2 2022-01-27
1465 4.9909706 4 2022-01-28
1466 4.996359 2 2022-01-29
1467 4.977225 6 2022-01-30
1468 4.9985642 1 2022-01-31
1469 4.954904 5 2022-02-01
1470 4.9718633 7 2022-02-02
1471 5.0106826 6 2022-02-03
1472 5.02733 2 2022-02-04
1473 4.9899364 2 2022-02-05
1474 4.9660997 6 2022-02-07
1475 4.9996767 7 2022-02-08
1476 5.032105 3 2022-02-09
1477 5.013597 3 2022-02-10
1478 5.001397 4 2022-02-11
1479 5.010083 6 2022-02-12
1480 5.030722 7 2022-02-13
1481 5.0498276 3 2022-02-14
1482 5.0280547 1 2022-02-15
1483 4.9751196 3 2022-02-16
1484 4.978454 4 2022-02-17
1485 4.9934425 1 2022-02-18
1486 4.9434285 1 2022-02-19
1487 4.8875976 4 2022-02-20
1488 4.9088373 7 2022-02-21
1489 4.96146 7 2022-02-22
1490 4.9987683 5 2022-02-23
1491 5.009862 7 2022-02-24
1492 5.025337 7 2022-02-25
1493 5.040842 5 2022-02-26
1494 5.0432057 1 2022-02-27
1495 4.9849634 5 2022-02-28
1496 5.0150237 14 2022-03-01
1497 4.9916444 5 2022-03-02
1498 5.001942 3 2022-03-03
1499 4.997283 10 2022-03-04
1500 5.0239644 1 2022-03-05
1501 4.9717836 6 2022-03-06
1502 5.0170135 6 2022-03-07
1503 5.0438814 3 2022-03-08
1504 5.0262413 4 2022-03-09
1505 5.032315 5 2022-03-10
1506 5.0469894 3 2022-03-11
1507 5.033756 2 2022-03-12
1508 5.0034194 2 2022-03-13
1509 4.9825244 6 2022-03-14
1510 5.0099063 8 2022-03-15
1511 5.0394745 6 2022-03-16
1512 5.0479164 7 2022-03-17
1513 5.0533977 3 2022-03-18
1514 5.0313 7 2022-03-19
1515 5.05227 2 2022-03-20
1516 5.022835 7 2022-03-21
1517 5.046266 5 2022-03-22
1518 5.060192 5 2022-03-23
1519 5.0617437 1 2022-03-24
1520 5.008362 6 2022-03-25
1521 5.0352116 6 2022-03-26
1522 5.0585933 5 2022-03-27
1523 5.0591073 8 2022-03-28
1524 5.0670633 7 2022-03-29
1525 5.0731745 5 2022-03-30
1526 5.067183 5 2022-03-31
1527 5.0695066 5 2022-04-01
1528 5.0734854 6 2022-04-02
1529 5.07977 10 2022-04-03
1530 5.0768147 7 2022-04-04
1531 5.0777555 5 2022-04-05
1532 5.069856 4 2022-04-06
1533 5.067716 4 2022-04-07
1534 5.0692625 7 2022-04-08
1535 5.083702 8 2022-04-09
1536 5.090245 4 2022-04-10
1537 5.0741954 4 2022-04-11
1538 5.069244 1 2022-04-12
1539 5.0255327 7 2022-04-13
1540 5.0571175 3 2022-04-14
1541 5.055131 2 2022-04-15
1542 5.0225534 4 2022-04-16
1543 5.0289617 5 2022-04-17
1544 5.0436387 5 2022-04-18
1545 5.0498724 3 2022-04-19
1546 5.033353 7 2022-04-20
1547 5.0482216 3 2022-04-21
1548 5.038521 4 2022-04-22
1549 5.0329695 5 2022-04-23
1550 5.044731 2 2022-04-24
1551 5.0150237 2 2022-04-25
1552 4.9899197 3 2022-04-26
1553 4.9863224 4 2022-04-27
1554 4.996014 4 2022-04-28
1555 5.0025887 14 2022-04-29
1556 4.976552 6 2022-04-30
1557 5.0066333 14 2022-05-01
1558 4.9730616 4 2022-05-02
1559 4.960531 10 2022-05-03
1560 5.003098 4 2022-05-04
1561 4.9992604 4 2022-05-05
1562 5.0189342 7 2022-05-06
1563 5.0503197 4 2022-05-07
1564 5.049831 6 2022-05-08
1565 5.0635495 6 2022-05-09
1566 5.0738606 8 2022-05-10
1567 5.0781584 6 2022-05-11
1568 5.076469 5 2022-05-12
1569 5.073037 2 2022-05-13
1570 5.0412464 3 2022-05-14
1571 5.044234 5 2022-05-15
1572 5.060282 3 2022-05-16
1573 5.0500546 3 2022-05-17
1574 5.0365105 8 2022-05-18
1575 5.0556655 8 2022-05-19
1576 5.07128 4 2022-05-20
1577 5.0561023 2 2022-05-21
1578 5.022344 2 2022-05-22
1579 5.0043116 7 2022-05-23
1580 5.035726 2 2022-05-24
1581 5.013138 1 2022-05-25
1582 4.9591265 7 2022-05-26
1583 4.999312 1 2022-05-27
1584 4.960548 6 2022-05-28
1585 4.987494 3 2022-05-29
1586 4.9918046 6 2022-05-30
1587 5.0103602 8 2022-05-31
1588 5.0362206 5 2022-06-01
1589 5.0404677 6 2022-06-02
1590 5.0473547 3 2022-06-03
1591 5.0307713 7 2022-06-05
1592 5.049233 8 2022-06-06
1593 5.0659056 2 2022-06-07
1594 5.0229044 9 2022-06-08
1595 5.045252 4 2022-06-09
1596 5.0477986 6 2022-06-10
1597 5.0584483 8 2022-06-11
1598 5.070569 1 2022-06-12
1599 5.007659 5 2022-06-13
1600 5.0351977 7 2022-06-14
1601 5.0612793 1 2022-06-15
1602 5.0055 3 2022-06-16
1603 5.0073786 5 2022-06-17
1604 5.029899 1 2022-06-18
1605 4.9815173 7 2022-06-19
1606 5.0106754 8 2022-06-20
1607 5.0417953 1 2022-06-21
1608 4.976139 1 2022-06-22
1609 4.931183 4 2022-06-23
