 "Test Predictions" Actuals Date
1439 5.6902504 9 2022-01-01
1440 6.087203 2 2022-01-03
1441 5.7342315 2 2022-01-04
1442 5.438172 4 2022-01-05
1443 5.406219 3 2022-01-06
1444 5.2625575 6 2022-01-07
1445 5.356187 3 2022-01-08
1446 5.0963826 2 2022-01-09
1447 5.060511 8 2022-01-10
1448 5.3072534 4 2022-01-11
1449 5.019506 8 2022-01-12
1450 5.268881 2 2022-01-13
1451 4.8478456 6 2022-01-14
1452 5.2469664 5 2022-01-15
1453 5.130275 4 2022-01-16
1454 4.387525 7 2022-01-17
1455 4.6110387 6 2022-01-18
1456 5.2952647 3 2022-01-19
1457 5.193857 5 2022-01-20
1458 5.3609686 2 2022-01-21
1459 5.147315 8 2022-01-22
1460 5.4909225 5 2022-01-23
1461 5.2805 1 2022-01-24
1462 5.094645 5 2022-01-25
1463 5.3284283 3 2022-01-26
1464 5.0848937 2 2022-01-27
1465 4.8009815 4 2022-01-28
1466 4.9307065 2 2022-01-29
1467 4.837297 6 2022-01-30
1468 4.9829674 1 2022-01-31
1469 4.6230316 5 2022-02-01
1470 4.4828243 7 2022-02-02
1471 4.3998184 6 2022-02-03
1472 4.2691584 2 2022-02-04
1473 4.167898 2 2022-02-05
1474 4.496845 6 2022-02-07
1475 4.715696 7 2022-02-08
1476 4.752121 3 2022-02-09
1477 4.587949 3 2022-02-10
1478 4.669821 4 2022-02-11
1479 4.6838627 6 2022-02-12
1480 4.722042 7 2022-02-13
1481 4.787037 3 2022-02-14
1482 4.5949516 1 2022-02-15
1483 4.584119 3 2022-02-16
1484 4.6978364 4 2022-02-17
1485 4.625413 1 2022-02-18
1486 4.406929 1 2022-02-19
1487 4.4322724 4 2022-02-20
1488 4.5224137 7 2022-02-21
1489 4.4007735 7 2022-02-22
1490 4.210855 5 2022-02-23
1491 4.089733 7 2022-02-24
1492 4.2285852 7 2022-02-25
1493 4.232024 5 2022-02-26
1494 4.177142 1 2022-02-27
1495 4.103865 5 2022-02-28
1496 4.439352 14 2022-03-01
1497 4.5444975 5 2022-03-02
1498 4.113442 3 2022-03-03
1499 4.9576697 10 2022-03-04
1500 5.5746627 1 2022-03-05
1501 5.071713 6 2022-03-06
1502 4.817018 6 2022-03-07
1503 4.4497404 3 2022-03-08
1504 4.397708 4 2022-03-09
1505 5.3737917 5 2022-03-10
1506 5.384267 3 2022-03-11
1507 4.408692 2 2022-03-12
1508 4.421068 2 2022-03-13
1509 4.500384 6 2022-03-14
1510 4.580209 8 2022-03-15
1511 4.473915 6 2022-03-16
1512 4.3201933 7 2022-03-17
1513 4.401816 3 2022-03-18
1514 4.219158 7 2022-03-19
1515 4.5064898 2 2022-03-20
1516 4.262392 7 2022-03-21
1517 5.5480013 5 2022-03-22
1518 5.4105377 5 2022-03-23
1519 5.4518456 1 2022-03-24
1520 5.1951513 6 2022-03-25
1521 5.472164 6 2022-03-26
1522 5.379065 5 2022-03-27
1523 5.31487 8 2022-03-28
1524 5.5109887 7 2022-03-29
1525 5.482726 5 2022-03-30
1526 5.4227986 5 2022-03-31
1527 5.475413 5 2022-04-01
1528 5.4793253 6 2022-04-02
1529 5.5387444 10 2022-04-03
1530 5.7370644 7 2022-04-04
1531 5.599013 5 2022-04-05
1532 5.54351 4 2022-04-06
1533 5.5302935 4 2022-04-07
1534 4.460641 7 2022-04-08
1535 4.585438 8 2022-04-09
1536 4.555915 4 2022-04-10
1537 5.1851697 4 2022-04-11
1538 5.527048 1 2022-04-12
1539 5.3687067 7 2022-04-13
1540 6.0644207 3 2022-04-14
1541 5.9287715 2 2022-04-15
1542 5.7509427 4 2022-04-16
1543 5.424156 5 2022-04-17
1544 5.3353453 5 2022-04-18
1545 5.270998 3 2022-04-19
1546 5.1561704 7 2022-04-20
1547 5.3839006 3 2022-04-21
1548 5.1172 4 2022-04-22
1549 5.1013246 5 2022-04-23
1550 5.165907 2 2022-04-24
1551 5.0079007 2 2022-04-25
1552 4.997981 3 2022-04-26
1553 4.8988695 4 2022-04-27
1554 4.79862 4 2022-04-28
1555 4.6713066 14 2022-04-29
1556 5.128598 6 2022-04-30
1557 4.876363 14 2022-05-01
1558 5.4288816 4 2022-05-02
1559 5.0592074 10 2022-05-03
1560 5.5813637 4 2022-05-04
1561 5.3012204 4 2022-05-05
1562 5.4330935 7 2022-05-06
1563 5.623713 4 2022-05-07
1564 5.438984 6 2022-05-08
1565 5.5924363 6 2022-05-09
1566 5.568453 8 2022-05-10
1567 4.544817 6 2022-05-11
1568 4.420429 5 2022-05-12
1569 4.4146113 2 2022-05-13
1570 4.3193374 3 2022-05-14
1571 4.4978824 5 2022-05-15
1572 4.5638514 3 2022-05-16
1573 5.3367043 3 2022-05-17
1574 5.3306403 8 2022-05-18
1575 5.51716 8 2022-05-19
1576 5.488436 4 2022-05-20
1577 5.2696276 2 2022-05-21
1578 5.140991 2 2022-05-22
1579 4.4255657 7 2022-05-23
1580 5.2753263 2 2022-05-24
1581 4.9641013 1 2022-05-25
1582 4.9650984 7 2022-05-26
1583 5.4210744 1 2022-05-27
1584 5.0322175 6 2022-05-28
1585 5.4554977 3 2022-05-29
1586 5.1066303 6 2022-05-30
1587 5.095682 8 2022-05-31
1588 5.133013 5 2022-06-01
1589 4.915265 6 2022-06-02
1590 5.1904473 3 2022-06-03
1591 5.0177126 7 2022-06-05
1592 5.348654 8 2022-06-06
1593 5.437612 2 2022-06-07
1594 5.121958 9 2022-06-08
1595 5.6070404 4 2022-06-09
1596 5.3037443 6 2022-06-10
1597 5.494753 8 2022-06-11
1598 5.5923347 1 2022-06-12
1599 4.1626616 5 2022-06-13
1600 4.5411096 7 2022-06-14
1601 4.572638 1 2022-06-15
1602 5.169308 3 2022-06-16
1603 5.3775487 5 2022-06-17
1604 5.3926764 1 2022-06-18
1605 5.118029 7 2022-06-19
1606 5.3538804 8 2022-06-20
1607 4.479097 1 2022-06-21
1608 4.1169896 1 2022-06-22
1609 4.3556013 4 2022-06-23
1610 4.5326633 4 2022-06-24
1611 4.4501963 2 2022-06-25
1612 4.479513 1 2022-06-26
1613 4.697052 12 2022-06-27
1614 5.0711136 3 2022-06-28
1615 4.612092 7 2022-06-29
1616 5.0236053 6 2022-06-30
