 "Test Predictions" Actuals Date
1439 5.2626143 9 2022-01-01
1440 5.262686 2 2022-01-03
1441 4.742638 2 2022-01-04
1442 4.742714 4 2022-01-05
1443 5.167538 3 2022-01-06
1444 4.743951 6 2022-01-07
1445 5.262681 3 2022-01-08
1446 4.7434134 2 2022-01-09
1447 4.7427135 8 2022-01-10
1448 5.262685 4 2022-01-11
1449 4.8476377 8 2022-01-12
1450 5.262685 2 2022-01-13
1451 4.742638 6 2022-01-14
1452 5.262681 5 2022-01-15
1453 5.250759 4 2022-01-16
1454 4.8532653 7 2022-01-17
1455 5.2626853 6 2022-01-18
1456 5.2626143 3 2022-01-19
1457 4.743414 5 2022-01-20
1458 5.2619925 2 2022-01-21
1459 4.742638 8 2022-01-22
1460 5.262685 5 2022-01-23
1461 5.250759 1 2022-01-24
1462 4.7426343 5 2022-01-25
1463 5.2619953 3 2022-01-26
1464 4.7434163 2 2022-01-27
1465 4.7427135 4 2022-01-28
1466 5.1675386 2 2022-01-29
1467 4.742641 6 2022-01-30
1468 5.262681 1 2022-01-31
1469 4.7426343 5 2022-02-01
1470 5.2619953 7 2022-02-02
1471 5.262686 6 2022-02-03
1472 5.2626143 2 2022-02-04
1473 4.742638 2 2022-02-05
1474 4.742714 6 2022-02-07
1475 5.262681 7 2022-02-08
1476 5.262686 3 2022-02-09
1477 4.7434134 3 2022-02-10
1478 4.7560177 4 2022-02-11
1479 5.1616945 6 2022-02-12
1480 5.262645 7 2022-02-13
1481 5.262686 3 2022-02-14
1482 4.7434134 1 2022-02-15
1483 4.7426324 3 2022-02-16
1484 4.7560744 4 2022-02-17
1485 5.161669 1 2022-02-18
1486 4.742634 1 2022-02-19
1487 4.7426324 4 2022-02-20
1488 5.167575 7 2022-02-21
1489 5.262686 7 2022-02-22
1490 5.262686 5 2022-02-23
1491 5.250759 7 2022-02-24
1492 5.2626863 7 2022-02-25
1493 5.262686 5 2022-02-26
1494 5.250759 1 2022-02-27
1495 4.7426343 5 2022-02-28
1496 5.2619953 14 2022-03-01
1497 5.262685 5 2022-03-02
1498 5.250759 3 2022-03-03
1499 4.7434664 10 2022-03-04
1500 5.262684 1 2022-03-05
1501 4.7426343 6 2022-03-06
1502 5.262681 6 2022-03-07
1503 5.2626143 3 2022-03-08
1504 4.743414 4 2022-03-09
1505 5.1672378 5 2022-03-10
1506 5.255578 3 2022-03-11
1507 4.7434444 2 2022-03-12
1508 4.7427135 2 2022-03-13
1509 4.742714 6 2022-03-14
1510 5.262681 8 2022-03-15
1511 5.2626867 6 2022-03-16
1512 5.2626143 7 2022-03-17
1513 5.262686 3 2022-03-18
1514 4.7434134 7 2022-03-19
1515 5.262685 2 2022-03-20
1516 4.742638 7 2022-03-21
1517 5.262685 5 2022-03-22
1518 5.250759 5 2022-03-23
1519 5.251503 1 2022-03-24
1520 4.7426343 6 2022-03-25
1521 5.262681 6 2022-03-26
1522 5.2626143 5 2022-03-27
1523 5.250764 8 2022-03-28
1524 5.2626867 7 2022-03-29
1525 5.262686 5 2022-03-30
1526 5.250759 5 2022-03-31
1527 5.251503 5 2022-04-01
1528 5.2514577 6 2022-04-02
1529 5.262619 10 2022-04-03
1530 5.262686 7 2022-04-04
1531 5.262686 5 2022-04-05
1532 5.250759 4 2022-04-06
1533 4.853266 4 2022-04-07
1534 5.1108713 7 2022-04-08
1535 5.262686 8 2022-04-09
1536 5.2626867 4 2022-04-10
1537 4.847638 4 2022-04-11
1538 5.1141896 1 2022-04-12
1539 4.742634 7 2022-04-13
1540 5.262685 3 2022-04-14
1541 4.7434134 2 2022-04-15
1542 4.7427135 4 2022-04-16
1543 5.1675386 5 2022-04-17
1544 5.2555666 5 2022-04-18
1545 5.2512083 3 2022-04-19
1546 4.7434645 7 2022-04-20
1547 5.262685 3 2022-04-21
1548 4.7434134 4 2022-04-22
1549 5.1672378 5 2022-04-23
1550 5.255578 2 2022-04-24
1551 4.7426386 2 2022-04-25
1552 4.742714 3 2022-04-26
1553 4.756068 4 2022-04-27
1554 5.1616716 4 2022-04-28
1555 4.902014 14 2022-04-29
1556 5.262683 6 2022-04-30
1557 5.2626143 14 2022-05-01
1558 5.262685 4 2022-05-02
1559 4.8476377 10 2022-05-03
1560 5.2626843 4 2022-05-04
1561 4.8476377 4 2022-05-05
1562 5.11419 7 2022-05-06
1563 5.262686 4 2022-05-07
1564 4.847638 6 2022-05-08
1565 5.262678 6 2022-05-09
1566 5.2626143 8 2022-05-10
1567 5.2626867 6 2022-05-11
1568 5.2626143 5 2022-05-12
1569 5.250764 2 2022-05-13
1570 4.7426386 3 2022-05-14
1571 4.756074 5 2022-05-15
1572 5.261942 3 2022-05-16
1573 4.743417 3 2022-05-17
1574 4.7560177 8 2022-05-18
1575 5.262685 8 2022-05-19
1576 5.2626867 4 2022-05-20
1577 4.847638 2 2022-05-21
1578 4.742678 2 2022-05-22
1579 4.742714 7 2022-05-23
1580 5.262685 2 2022-05-24
1581 4.742638 1 2022-05-25
1582 4.7426324 7 2022-05-26
1583 5.262685 1 2022-05-27
1584 4.7426343 6 2022-05-28
1585 5.262681 3 2022-05-29
1586 4.7434134 6 2022-05-30
1587 5.262681 8 2022-05-31
1588 5.2626867 5 2022-06-01
1589 5.250759 6 2022-06-02
1590 5.262619 3 2022-06-03
1591 4.743414 7 2022-06-05
1592 5.262685 8 2022-06-06
1593 5.2626867 2 2022-06-07
1594 4.742638 9 2022-06-08
1595 5.2626843 4 2022-06-09
1596 4.847637 6 2022-06-10
1597 5.262678 8 2022-06-11
1598 5.2626867 1 2022-06-12
1599 4.7426343 5 2022-06-13
1600 5.2619953 7 2022-06-14
1601 5.262686 1 2022-06-15
1602 4.7426343 3 2022-06-16
1603 4.7560744 5 2022-06-17
1604 5.261942 1 2022-06-18
1605 4.7426343 7 2022-06-19
1606 5.262685 8 2022-06-20
1607 5.2626867 1 2022-06-21
1608 4.7426343 1 2022-06-22
1609 4.7426324 4 2022-06-23
1610 5.167575 4 2022-06-24
1611 4.8984337 2 2022-06-25
1612 4.742667 1 2022-06-26
1613 4.7426324 12 2022-06-27
1614 5.262683 3 2022-06-28
1615 4.7434134 7 2022-06-29
1616 5.262685 6 2022-06-30
