 "Test Predictions" Actuals Date
1439 5.1699133 9 2022-01-01
1440 5.25609 2 2022-01-03
1441 4.7058606 2 2022-01-04
1442 4.707926 4 2022-01-05
1443 5.058005 3 2022-01-06
1444 4.7146354 6 2022-01-07
1445 5.178195 3 2022-01-08
1446 4.7119126 2 2022-01-09
1447 4.70783 8 2022-01-10
1448 5.2071333 4 2022-01-11
1449 4.8888617 8 2022-01-12
1450 5.2047696 2 2022-01-13
1451 4.7056923 6 2022-01-14
1452 5.178712 5 2022-01-15
1453 5.1583643 4 2022-01-16
1454 4.9503055 7 2022-01-17
1455 5.18589 6 2022-01-18
1456 5.1693163 3 2022-01-19
1457 4.7125926 5 2022-01-20
1458 5.1676307 2 2022-01-21
1459 4.7061763 8 2022-01-22
1460 5.207533 5 2022-01-23
1461 5.155619 1 2022-01-24
1462 4.703988 5 2022-01-25
1463 5.1681647 3 2022-01-26
1464 4.7126064 2 2022-01-27
1465 4.70782 4 2022-01-28
1466 5.0581264 2 2022-01-29
1467 4.706586 6 2022-01-30
1468 5.178607 1 2022-01-31
1469 4.703806 5 2022-02-01
1470 5.168187 7 2022-02-02
1471 5.1814737 6 2022-02-03
1472 5.169735 2 2022-02-04
1473 4.706155 2 2022-02-05
1474 4.7079163 6 2022-02-07
1475 5.178453 7 2022-02-08
1476 5.1802926 3 2022-02-09
1477 4.7118077 3 2022-02-10
1478 4.7228165 4 2022-02-11
1479 5.051945 6 2022-02-12
1480 5.173018 7 2022-02-13
1481 5.1809835 3 2022-02-14
1482 4.7117624 1 2022-02-15
1483 4.7046437 3 2022-02-16
1484 4.7234936 4 2022-02-17
1485 5.0516415 1 2022-02-18
1486 4.7040997 1 2022-02-19
1487 4.7047205 4 2022-02-20
1488 5.060814 7 2022-02-21
1489 5.183854 7 2022-02-22
1490 5.1797414 5 2022-02-23
1491 5.1583176 7 2022-02-24
1492 5.1824365 7 2022-02-25
1493 5.179927 5 2022-02-26
1494 5.1582966 1 2022-02-27
1495 4.703973 5 2022-02-28
1496 5.1681666 14 2022-03-01
1497 5.4423485 5 2022-03-02
1498 5.144934 3 2022-03-03
1499 4.713368 10 2022-03-04
1500 5.3766375 1 2022-03-05
1501 4.704131 6 2022-03-06
1502 5.178869 6 2022-03-07
1503 5.1698933 3 2022-03-08
1504 4.7125473 4 2022-03-09
1505 5.0566573 5 2022-03-10
1506 5.1620154 3 2022-03-11
1507 4.713015 2 2022-03-12
1508 4.707814 2 2022-03-13
1509 4.7078667 6 2022-03-14
1510 5.1784587 8 2022-03-15
1511 5.1969304 6 2022-03-16
1512 5.168939 7 2022-03-17
1513 5.181502 3 2022-03-18
1514 4.711729 7 2022-03-19
1515 5.189848 2 2022-03-20
1516 4.7057934 7 2022-03-21
1517 5.190259 5 2022-03-22
1518 5.1570296 5 2022-03-23
1519 5.160474 1 2022-03-24
1520 4.703958 6 2022-03-25
1521 5.178871 6 2022-03-26
1522 5.1698933 5 2022-03-27
1523 5.159421 8 2022-03-28
1524 5.200722 7 2022-03-29
1525 5.1787896 5 2022-03-30
1526 5.1584187 5 2022-03-31
1527 5.1603737 5 2022-04-01
1528 5.160222 6 2022-04-02
1529 5.1714587 10 2022-04-03
1530 5.37238 7 2022-04-04
1531 5.1807303 5 2022-04-05
1532 5.158139 4 2022-04-06
1533 4.9505305 4 2022-04-07
1534 5.00439 7 2022-04-08
1535 5.18493 8 2022-04-09
1536 5.1956806 4 2022-04-10
1537 4.9046397 4 2022-04-11
1538 5.0159025 1 2022-04-12
1539 4.704155 7 2022-04-13
1540 5.1904263 3 2022-04-14
1541 4.711116 2 2022-04-15
1542 4.707842 4 2022-04-16
1543 5.0581007 5 2022-04-17
1544 5.1619844 5 2022-04-18
1545 5.1600933 3 2022-04-19
1546 4.7131276 7 2022-04-20
1547 5.1897593 3 2022-04-21
1548 4.711156 4 2022-04-22
1549 5.0574865 5 2022-04-23
1550 5.1619987 2 2022-04-24
1551 4.7062664 2 2022-04-25
1552 4.707913 3 2022-04-26
1553 4.7229815 4 2022-04-27
1554 5.051868 4 2022-04-28
1555 4.9768825 14 2022-04-29
1556 5.442874 6 2022-04-30
1557 5.1701508 14 2022-05-01
1558 5.4423275 4 2022-05-02
1559 4.7836366 10 2022-05-03
1560 5.375491 4 2022-05-04
1561 4.810232 4 2022-05-05
1562 5.0345936 7 2022-05-06
1563 5.184375 4 2022-05-07
1564 4.91638 6 2022-05-08
1565 5.17521 6 2022-05-09
1566 5.1702495 8 2022-05-10
1567 5.198853 6 2022-05-11
1568 5.168869 5 2022-05-12
1569 5.159539 2 2022-05-13
1570 4.7063007 3 2022-05-14
1571 4.723324 5 2022-05-15
1572 5.1672115 3 2022-05-16
1573 4.7126746 3 2022-05-17
1574 4.7227325 8 2022-05-18
1575 5.2061787 8 2022-05-19
1576 5.1925817 4 2022-05-20
1577 4.907792 2 2022-05-21
1578 4.7071147 2 2022-05-22
1579 4.707887 7 2022-05-23
1580 5.1899734 2 2022-05-24
1581 4.705791 1 2022-05-25
1582 4.7046943 7 2022-05-26
1583 5.190339 1 2022-05-27
1584 4.703709 6 2022-05-28
1585 5.1789045 3 2022-05-29
1586 4.711861 6 2022-05-30
1587 5.178336 8 2022-05-31
1588 5.196958 5 2022-06-01
1589 5.1569014 6 2022-06-02
1590 5.1716638 3 2022-06-03
1591 4.7124095 7 2022-06-05
1592 5.189804 8 2022-06-06
1593 5.1946154 2 2022-06-07
1594 4.7058177 9 2022-06-08
1595 5.263362 4 2022-06-09
1596 4.8555717 6 2022-06-10
1597 5.1760755 8 2022-06-11
1598 5.197478 1 2022-06-12
1599 4.703724 5 2022-06-13
1600 5.1681986 7 2022-06-14
1601 5.1814723 1 2022-06-15
1602 4.703789 3 2022-06-16
1603 4.7237353 5 2022-06-17
1604 5.1671963 1 2022-06-18
1605 4.7039065 7 2022-06-19
1606 5.1904674 8 2022-06-20
1607 5.1944895 1 2022-06-21
1608 4.7037325 1 2022-06-22
1609 4.704726 4 2022-06-23
1610 5.060805 4 2022-06-24
1611 4.9741015 2 2022-06-25
1612 4.7068796 1 2022-06-26
1613 4.704678 12 2022-06-27
1614 5.43907 3 2022-06-28
1615 4.709791 7 2022-06-29
1616 5.1898317 6 2022-06-30
