 "Test Predictions" Actuals Date
1439 5.2513885 9 2022-01-01
1440 5.218372 2 2022-01-03
1441 5.2861056 2 2022-01-04
1442 5.2657847 4 2022-01-05
1443 5.248272 3 2022-01-06
1444 5.249326 6 2022-01-07
1445 5.22803 3 2022-01-08
1446 5.254318 2 2022-01-09
1447 5.242981 8 2022-01-10
1448 5.194992 4 2022-01-11
1449 5.255861 8 2022-01-12
1450 5.220908 2 2022-01-13
1451 5.273807 6 2022-01-14
1452 5.2431808 5 2022-01-15
1453 5.2614 4 2022-01-16
1454 5.266937 7 2022-01-17
1455 5.239748 6 2022-01-18
1456 5.2616835 3 2022-01-19
1457 5.2802715 5 2022-01-20
1458 5.259861 2 2022-01-21
1459 5.2661877 8 2022-01-22
1460 5.2124515 5 2022-01-23
1461 5.263959 1 2022-01-24
1462 5.26698 5 2022-01-25
1463 5.2382064 3 2022-01-26
1464 5.252638 2 2022-01-27
1465 5.2417307 4 2022-01-28
1466 5.225927 2 2022-01-29
1467 5.2313356 6 2022-01-30
1468 5.206397 1 2022-01-31
1469 5.2355337 5 2022-02-01
1470 5.211623 7 2022-02-02
1471 5.210868 6 2022-02-03
1472 5.242281 2 2022-02-04
1473 5.264348 2 2022-02-05
1474 5.2443633 6 2022-02-07
1475 5.2188115 7 2022-02-08
1476 5.2263784 3 2022-02-09
1477 5.2658315 3 2022-02-10
1478 5.2538376 4 2022-02-11
1479 5.242846 6 2022-02-12
1480 5.2318115 7 2022-02-13
1481 5.234419 3 2022-02-14
1482 5.271531 1 2022-02-15
1483 5.2535934 3 2022-02-16
1484 5.232521 4 2022-02-17
1485 5.227909 1 2022-02-18
1486 5.229601 1 2022-02-19
1487 5.210368 4 2022-02-20
1488 5.1978207 7 2022-02-21
1489 5.189228 7 2022-02-22
1490 5.2171173 5 2022-02-23
1491 5.2545824 7 2022-02-24
1492 5.241234 7 2022-02-25
1493 5.2520213 5 2022-02-26
1494 5.2785835 1 2022-02-27
1495 5.2780066 5 2022-02-28
1496 5.247457 14 2022-03-01
1497 5.09359 5 2022-03-02
1498 5.265092 3 2022-03-03
1499 5.285992 10 2022-03-04
1500 5.2021017 1 2022-03-05
1501 5.2853966 6 2022-03-06
1502 5.253281 6 2022-03-07
1503 5.263421 3 2022-03-08
1504 5.282039 4 2022-03-09
1505 5.2655935 5 2022-03-10
1506 5.2566786 3 2022-03-11
1507 5.2642565 2 2022-03-12
1508 5.250285 2 2022-03-13
1509 5.2335944 6 2022-03-14
1510 5.209593 8 2022-03-15
1511 5.207046 6 2022-03-16
1512 5.2525454 7 2022-03-17
1513 5.2504687 3 2022-03-18
1514 5.283905 7 2022-03-19
1515 5.2460313 2 2022-03-20
1516 5.2797427 7 2022-03-21
1517 5.236822 5 2022-03-22
1518 5.2686605 5 2022-03-23
1519 5.2689714 1 2022-03-24
1520 5.2692842 6 2022-03-25
1521 5.2328115 6 2022-03-26
1522 5.2474856 5 2022-03-27
1523 5.2636147 8 2022-03-28
1524 5.233294 7 2022-03-29
1525 5.258029 5 2022-03-30
1526 5.2836485 5 2022-03-31
1527 5.2807517 5 2022-04-01
1528 5.277776 6 2022-04-02
1529 5.2673693 10 2022-04-03
1530 5.2084584 7 2022-04-04
1531 5.265175 5 2022-04-05
1532 5.291106 4 2022-04-06
1533 5.293212 4 2022-04-07
1534 5.284223 7 2022-04-08
1535 5.2532773 8 2022-04-09
1536 5.245845 4 2022-04-10
1537 5.29187 4 2022-04-11
1538 5.2837844 1 2022-04-12
1539 5.272703 7 2022-04-13
1540 5.226732 3 2022-04-14
1541 5.2682104 2 2022-04-15
1542 5.254921 4 2022-04-16
1543 5.237144 5 2022-04-17
1544 5.2350125 5 2022-04-18
1545 5.242429 3 2022-04-19
1546 5.25322 7 2022-04-20
1547 5.2213254 3 2022-04-21
1548 5.2620435 4 2022-04-22
1549 5.249407 5 2022-04-23
1550 5.243876 2 2022-04-24
1551 5.253237 2 2022-04-25
1552 5.235084 3 2022-04-26
1553 5.223318 4 2022-04-27
1554 5.219383 4 2022-04-28
1555 5.2244587 14 2022-04-29
1556 5.0694947 6 2022-04-30
1557 5.2434254 14 2022-05-01
1558 5.1064615 4 2022-05-02
1559 5.2756124 10 2022-05-03
1560 5.2106967 4 2022-05-04
1561 5.293425 4 2022-05-05
1562 5.2911987 7 2022-05-06
1563 5.260241 4 2022-05-07
1564 5.2901874 6 2022-05-08
1565 5.268961 6 2022-05-09
1566 5.271455 8 2022-05-10
1567 5.2474537 6 2022-05-11
1568 5.278434 5 2022-05-12
1569 5.2876973 2 2022-05-13
1570 5.2901497 3 2022-05-14
1571 5.268015 5 2022-05-15
1572 5.2517357 3 2022-05-16
1573 5.2612076 3 2022-05-17
1574 5.2491465 8 2022-05-18
1575 5.206254 8 2022-05-19
1576 5.2279305 4 2022-05-20
1577 5.2798595 2 2022-05-21
1578 5.2739363 2 2022-05-22
1579 5.2528048 7 2022-05-23
1580 5.216414 2 2022-05-24
1581 5.258046 1 2022-05-25
1582 5.236897 7 2022-05-26
1583 5.1987133 1 2022-05-27
1584 5.2432 6 2022-05-28
1585 5.2126417 3 2022-05-29
1586 5.2450814 6 2022-05-30
1587 5.225472 8 2022-05-31
1588 5.217554 5 2022-06-01
1589 5.2667975 6 2022-06-02
1590 5.2608247 3 2022-06-03
1591 5.279188 7 2022-06-05
1592 5.2416224 8 2022-06-06
1593 5.238806 2 2022-06-07
1594 5.287869 9 2022-06-08
1595 5.2149515 4 2022-06-09
1596 5.2840834 6 2022-06-10
1597 5.266477 8 2022-06-11
1598 5.244885 1 2022-06-12
1599 5.2888813 5 2022-06-13
1600 5.258763 7 2022-06-14
1601 5.2463064 1 2022-06-15
1602 5.276253 3 2022-06-16
1603 5.251329 5 2022-06-17
1604 5.2395835 1 2022-06-18
1605 5.247716 7 2022-06-19
1606 5.2054048 8 2022-06-20
1607 5.216951 1 2022-06-21
1608 5.26828 1 2022-06-22
1609 5.241356 4 2022-06-23
1610 5.2242618 4 2022-06-24
1611 5.2305593 2 2022-06-25
1612 5.2337303 1 2022-06-26
1613 5.2183046 12 2022-06-27
1614 5.0967216 3 2022-06-28
1615 5.2475605 7 2022-06-29
1616 5.228573 6 2022-06-30
